quatI,quatJ,quatK,quatReal,quatRadianAccuracy,rot_tick_ms,activityConfidence,tick_ms_activity,rot_epoch
b'-0.1220703125',b'0.17724609375',b'-0.6376953125',b'0.73956298828125',b'0.24365234375',b'1065651',b'\x01\x01\x00\x02a',b'1062653',b'1065.651'
b'-0.1219482421875',b'0.1761474609375',b'-0.63787841796875',b'0.73974609375',b'0.24462890625',b'1065758',b'\x01\x01\x00\x02a',b'1062653',b'1065.758'
b'-0.12152099609375',b'0.1751708984375',b'-0.63800048828125',b'0.73992919921875',b'0.24560546875',b'1065863',b'\x01\x01\x00\x02a',b'1062653',b'1065.863'
b'-0.12139892578125',b'0.17529296875',b'-0.63848876953125',b'0.739501953125',b'0.246826171875',b'1065970',b'\x01\x01\x00\x02a',b'1062653',b'1065.97'
b'-0.1212158203125',b'0.1754150390625',b'-0.6387939453125',b'0.7392578125',b'0.247802734375',b'1066075',b'\x01\x01\x00\x02a',b'1062653',b'1066.075'
