quatI,quatJ,quatK,quatReal,quatRadianAccuracy,rot_tick_ms,activityConfidence,tick_ms_activity,rot_epoch
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946685616.059'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946685616.059'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946685616.059'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946685616.059'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946685616.059'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946685616.059'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946685616.059'
b'0.07403564453125',b'0.174560546875',b'0.9794921875',b'0.06787109375',b'3.1416015625',b'11277',b'',b'0',b'946685627.336'
b'0.07171630859375',b'0.174072265625',b'0.97998046875',b'0.0650634765625',b'3.1416015625',b'11377',b'',b'0',b'946685627.436'
b'0.07293701171875',b'0.17425537109375',b'0.97991943359375',b'0.06378173828125',b'3.1416015625',b'11476',b'',b'0',b'946685627.535'
b'0.07611083984375',b'0.17431640625',b'0.97991943359375',b'0.0599365234375',b'3.1416015625',b'11576',b'',b'0',b'946685627.029'
b'0.08026123046875',b'0.172119140625',b'0.98040771484375',b'0.05224609375',b'3.1416015625',b'11676',b'',b'0',b'946685627.129'
b'0.08599853515625',b'0.16937255859375',b'0.98114013671875',b'0.03485107421875',b'3.1416015625',b'11776',b'',b'0',b'946685627.729'
b'0.0919189453125',b'0.15374755859375',b'0.9837646484375',b'0.01214599609375',b'3.1416015625',b'11876',b'',b'0',b'946685627.829'
b'-0.08282470703125',b'-0.1348876953125',b'-0.9873046875',b'0.0123291015625',b'3.1416015625',b'11975',b'[\x02\x00\x03\x04',b'12203',b'946685627.928'
b'-0.059326171875',b'-0.10260009765625',b'-0.99041748046875',b'0.07086181640625',b'3.1416015625',b'12076',b'[\x02\x00\x03\x04',b'12203',b'946685628.029'
b'-0.03192138671875',b'-0.06475830078125',b'-0.9915771484375',b'0.1075439453125',b'3.1416015625',b'12175',b'[\x02\x00\x03\x04',b'12203',b'946685628.128'
b'-0.02069091796875',b'-0.03485107421875',b'-0.98736572265625',b'0.1531982421875',b'3.1416015625',b'12275',b'[\x02\x00\x03\x04',b'12203',b'946685628.728'
b'-0.01531982421875',b'6.103515625e-05',b'-0.9716796875',b'0.23590087890625',b'3.1416015625',b'12374',b'[\x02\x00\x03\x04',b'12203',b'946685628.827'
b'-0.02294921875',b'0.01513671875',b'-0.9461669921875',b'0.322509765625',b'3.1416015625',b'12475',b'[\x02\x00\x03\x04',b'12203',b'946685628.928'
b'-0.0638427734375',b'-0.00396728515625',b'-0.92431640625',b'0.37628173828125',b'3.1416015625',b'12574',b'[\x02\x00\x03\x04',b'12203',b'946685629.027'
