blink_data,blink_tick_ms,blink_payload_ID,temple_temp,temple_therm,temple_tick_ms,nose_temp,nose_therm,nose_tick_ms,parsed_sec_tick_ms,parsed_sec_epoch,quatI,quatJ,quatK,quatReal,quatRadianAccuracy,rot_tick_ms,activityConfidence,tick_ms_activity,pos_x,pos_y,pos_z,pos_accuracy,tick_ms_pos,pos_epoch,tick_ms,epoch,system_epoch
"('blink_data', b'\xe0\xd3\xc9\xc1\xbc\xb8\xb5\xb3\xb1\xb0\xb0\xaf\xaf\xae\xae\xad\xad\xad\xae\xae\xae\xae\xac\xad\xae\xad\xae\xae\xad\xa8\xa8\xaa\xaa\xb2\xb1\xb0\xb0\xb0\xaf\xaf\xaf\xaf\xad\xad\xad\xad\xad\xae\xad\xae\xad\xae\xad\xae\xad\xae\xad\xae\xaf\xae\xad\xad\xad\xad\xad\xad\xad\xa7\xa9\xa9\xaa\xb1\xb1\xb0\xb0\xb0\xb0\xae\xae\xad\xad\xad\xad\xad\xae\xad\xae\xad\xae\xad\xae\xad\xae\xaf\xaf\xad\xad\xad\xad\xad')","('blink_tick_ms', 8383)","('blink_payload_ID', 0)","('temple_temp', 0)","('temple_therm', 3743)","('temple_tick_ms', 8481)","('nose_temp', 0)","('nose_therm', 0)","('nose_tick_ms', 8436)","('parsed_sec_tick_ms', 8882)","('parsed_sec_epoch', 946684810)","('quatI', 0.0)","('quatJ', 0.0)","('quatK', 0.0)","('quatReal', 0.0)","('quatRadianAccuracy', 0.0)","('rot_tick_ms', 0)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 8877)","('epoch', 1581714729)",1581642735.0660837
"('blink_data', b'\xae\xad\xae\xad\xa8\xa9\xa9\xaa\xb1\xb1\xb1\xb1\xaf\xaf\xae\xae\xad\xae\xad\xae\xad\xae\xad\xae\xad\xae\xad\xae\xaf\xaf\xad\xad\xad\xae\xaf\xae\xae\xae\xae\xae\xae\xae\xa8\xa9\xaa\xaa\xb2\xb1\xb0\xb0\xaf\xaf\xae\xae\xae\xae\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad\xae\xae\xad\xad\xad\xad\xad\xae\xad\xad\xad\xad\xad\xa8\xa9\xaa\xaa\xb1\xb1\xb0\xb0\xaf\xaf\xae\xae\xae\xae\xad\xad\xad\xad\xad\xad\xad')","('blink_tick_ms', 8383)","('blink_payload_ID', 1)","('temple_temp', 0)","('temple_therm', 3743)","('temple_tick_ms', 8581)","('nose_temp', 939)","('nose_therm', 1566)","('nose_tick_ms', 8531)","('parsed_sec_tick_ms', 8882)","('parsed_sec_epoch', 946684810)","('quatI', 0.0)","('quatJ', 0.0)","('quatK', 0.0)","('quatReal', 0.0)","('quatRadianAccuracy', 0.0)","('rot_tick_ms', 0)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 8977)","('epoch', 1581714729)",1581642735.1551049
"('blink_data', b'\xad\xae\xae\xad\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xa7\xa9\xa9\xaa\xb2\xb0\xb0\xb0\xaf\xaf\xae\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xa8\xa9\xaa\xaa\xb1\xb1\xb0\xb0\xaf\xaf\xae\xae\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xa8\xa9\xa9\xaa\xb2\xb0\xb0\xb0')","('blink_tick_ms', 8383)","('blink_payload_ID', 2)","('temple_temp', 0)","('temple_therm', 3741)","('temple_tick_ms', 8681)","('nose_temp', 994)","('nose_therm', 1566)","('nose_tick_ms', 8631)","('parsed_sec_tick_ms', 8882)","('parsed_sec_epoch', 946684810)","('quatI', 0.0)","('quatJ', 0.0)","('quatK', 0.0)","('quatReal', 0.0)","('quatRadianAccuracy', 0.0)","('rot_tick_ms', 0)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 9076)","('epoch', 1581714729)",1581642735.238055
"('blink_data', b'\xaf\xaf\xae\xae\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xa8\xa9\xa9\xaa\xb1\xb1\xb0\xb0\xaf\xaf\xae\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xa7\xa9\xa9\xaa\xb1\xb0\xb0\xaf\xae\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad')","('blink_tick_ms', 8383)","('blink_payload_ID', 3)","('temple_temp', 0)","('temple_therm', 3739)","('temple_tick_ms', 8781)","('nose_temp', 1046)","('nose_therm', 1566)","('nose_tick_ms', 8731)","('parsed_sec_tick_ms', 8882)","('parsed_sec_epoch', 946684810)","('quatI', 0.0)","('quatJ', 0.0)","('quatK', 0.0)","('quatReal', 0.0)","('quatRadianAccuracy', 0.0)","('rot_tick_ms', 0)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 9176)","('epoch', 1581714729)",1581642735.3340642
"('blink_data', b'\xad\xac\xac\xac\xa7\xa8\xa9\xa9\xb0\xaf\xae\xae\xae\xad\xad\xad\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xab\xab\xab\xab\xab\xab\xab\xab\xab\xab\xab\xa5\xa7\xa8\xa8\xae\xad\xac\xac\xac\xab\xab\xab\xab\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xa9\xa9\xa9\xa9\xa9\xa9\xa9\xa9\xa9\xa9\xa9\xa3\xa5\xa6\xa6\xab\xaa\xa9\xaa\xa9\xa9\xa9\xa8\xa8\xa8\xa8\xa8\xa7\xa7\xa7\xa7\xa7')","('blink_tick_ms', 8383)","('blink_payload_ID', 4)","('temple_temp', 0)","('temple_therm', 3731)","('temple_tick_ms', 8881)","('nose_temp', 1098)","('nose_therm', 1567)","('nose_tick_ms', 8831)","('parsed_sec_tick_ms', 8882)","('parsed_sec_epoch', 946684810)","('quatI', 0.0)","('quatJ', 0.0)","('quatK', 0.0)","('quatReal', 0.0)","('quatRadianAccuracy', 0.0)","('rot_tick_ms', 0)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 9277)","('epoch', 1581714729)",1581642735.4320261
"('blink_data', b'\xa7\xa7\xa7\xa7\xa7\xa7\xa7\xa7\xa7\xa6\xa6\xa6\xa6\xa6\xa6\xa6\xa6\xa1\xa3\xa3\xa3\xa8\xa6\xa7\xa7\xa6\xa6\xa6\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa4\xa4\xa4\xa4\xa4\xa4\xa4\xa4\xa4\xa4\xa4\xa3\xa3\xa3\xa3\xa3\xa3\xa3\xa3\x9e\xa0\xa0\xa0\xa4\xa3\xa3\xa4\xa3\xa3\xa3\xa3\xa2\xa2\xa2\xa2\xa2\xa2\xa2\xa1\xa1\xa1\xa1\xa1\xa1\xa1\xa1\xa1\xa1\xa1\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\x9c\x9d\x9d\x9d\xa1\xa0\xa0\xa1')","('blink_tick_ms', 8383)","('blink_payload_ID', 5)","('temple_temp', 0)","('temple_therm', 3725)","('temple_tick_ms', 8981)","('nose_temp', 1109)","('nose_therm', 1567)","('nose_tick_ms', 8931)","('parsed_sec_tick_ms', 9382)","('parsed_sec_epoch', 946684811)","('quatI', 0.0)","('quatJ', 0.0)","('quatK', 0.0)","('quatReal', 0.0)","('quatRadianAccuracy', 0.0)","('rot_tick_ms', 0)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 9379)","('epoch', 1581714729)",1581642735.5357482
"('blink_data', b'\xa0\xa0\xa0\xa0\x9f\x9f\x9f\x9f\x9f\x9f\x9f\x9e\x9e\x9e\x9e\x9e\x9e\x9e\x9e\x9e\x9e\x9e\x9d\x9d\x9d\x9d\x9d\x9d\x9d\x98\x9a\x9b\x9b\x9e\x9d\x9d\x9e\x9e\x9d\x9d\x9d\x9d\x9c\x9c\x9c\x9c\x9c\x9c\x9c\x9c\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9a\x9a\x9a\x9a\x9a\x97\x98\x98\x98\x9b\x9a\x9b\x9b\x9b\x9b\x9a\x9a\x9a\x9a\x99\x99\x99\x99\x99\x99\x99\x99\x99\x99\x99\x99\x98\x98\x98\x98\x98\x98\x98')","('blink_tick_ms', 8383)","('blink_payload_ID', 6)","('temple_temp', 0)","('temple_therm', 3709)","('temple_tick_ms', 9081)","('nose_temp', 1173)","('nose_therm', 1566)","('nose_tick_ms', 9031)","('parsed_sec_tick_ms', 9382)","('parsed_sec_epoch', 946684811)","('quatI', 0.0)","('quatJ', 0.0)","('quatK', 0.0)","('quatReal', 0.0)","('quatRadianAccuracy', 0.0)","('rot_tick_ms', 0)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 9482)","('epoch', 1581714729)",1581642735.6413913
"('blink_data', b'\x98\x98\x98\x98\x93\x95\x96\x95\x98\x98\x98\x98\x98\x98\x98\x98\x98\x97\x97\x97\x97\x97\x97\x97\x97\x96\x96\x96\x96\x96\x96\x96\x96\x96\x96\x96\x96\x96\x96\x95\x95\x95\x92\x93\x93\x93\x96\x95\x96\x96\x96\x96\x96\x95\x95\x95\x95\x95\x95\x94\x94\x94\x94\x94\x94\x94\x94\x94\x94\x94\x94\x94\x94\x94\x94\x93\x93\x93\x93\x8f\x91\x91\x91\x94\x93\x93\x94\x94\x94\x94\x93\x93\x93\x93\x93\x93\x92\x92\x92\x92')","('blink_tick_ms', 8383)","('blink_payload_ID', 7)","('temple_temp', 40)","('temple_therm', 3709)","('temple_tick_ms', 9181)","('nose_temp', 1191)","('nose_therm', 1567)","('nose_tick_ms', 9131)","('parsed_sec_tick_ms', 9382)","('parsed_sec_epoch', 946684811)","('quatI', -0.43231201171875)","('quatJ', 0.0079345703125)","('quatK', 0.2005615234375)","('quatReal', 0.87908935546875)","('quatRadianAccuracy', 3.1416015625)","('rot_tick_ms', 9282)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 9585)","('epoch', 1581714729)",1581642735.7397642
"('blink_data', b'\x92\x92\x92\x92\x92\x92\x92\x92\x92\x92\x92\x92\x92\x91\x91\x91\x91\x8f\x8f\x8f\x8f\x92\x91\x92\x92\x92\x92\x92\x91\x91\x91\x91\x91\x91\x91\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x8c\x8e\x8e\x8d\x90\x90\x90\x90\x90\x90\x90\x90\x90\x8f\x8f\x8f\x8f\x8f\x8f\x8f\x8f\x8f\x8f\x8f\x8f\x8e\x8e\x8e\x8e\x8e\x8e\x8e\x8e\x8e\x8e\x8e\x8e\x8e\x8b\x8c\x8c\x8c\x8e\x8e\x8e\x8f')","('blink_tick_ms', 8383)","('blink_payload_ID', 8)","('temple_temp', 94)","('temple_therm', 3721)","('temple_tick_ms', 9281)","('nose_temp', 1200)","('nose_therm', 1567)","('nose_tick_ms', 9231)","('parsed_sec_tick_ms', 9382)","('parsed_sec_epoch', 946684811)","('quatI', -0.46820068359375)","('quatJ', 0.02398681640625)","('quatK', 0.19281005859375)","('quatReal', 0.86199951171875)","('quatRadianAccuracy', 3.1416015625)","('rot_tick_ms', 9382)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 9688)","('epoch', 1581714729)",1581642735.831667
"('blink_data', b'\x8f\x8e\x8e\x8e\x8e\x8e\x8d\x8d\x8d\x8d\x8d\x8d\x8d\x8d\x8d\x8d\x8d\x8d\x8d\x8d\x8d\x8d\x8d\x8d\x8d\x8c\x8c\x8c\x8c\x88\x8a\x8a\x8a\x8c\x8c\x8d\x8d\x8d\x8d\x8d\x8d\x8c\x8c\x8c\x8c\x8c\x8c\x8c\x8c\x8c\x8c\x8b\x8b\x8b\x8b\x8b\x8b\x8b\x8b\x8b\x8b\x8b\x8b\x8b\x8b\x8b\x8b\x89\x89\x89\x89\x8b\x8b\x8c\x8c\x8c\x8c\x8b\x8b\x8b\x8b\x8b\x8b\x8b\x8a\x8a\x8a\x8a\x8a\x8a\x8a\x8a\x8a\x8a\x8a\x8a\x8a\x8a\x8a\x8a')","('blink_tick_ms', 8383)","('blink_payload_ID', 9)","('temple_temp', 139)","('temple_therm', 3739)","('temple_tick_ms', 9381)","('nose_temp', 1211)","('nose_therm', 1566)","('nose_tick_ms', 9331)","('parsed_sec_tick_ms', 9382)","('parsed_sec_epoch', 946684811)","('quatI', -0.499755859375)","('quatJ', 0.050048828125)","('quatK', 0.16204833984375)","('quatReal', 0.84942626953125)","('quatRadianAccuracy', 3.1416015625)","('rot_tick_ms', 9481)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 9791)","('epoch', 1581714729)",1581642735.9509459
