quatI,quatJ,quatK,quatReal,quatRadianAccuracy,rot_tick_ms,activityConfidence,tick_ms_activity,rot_epoch
b'-0.001708984375',b'0.990478515625',b'0.1290283203125',b'0.04766845703125',b'1.40478515625',b'927970',b'\x01\x01\x00\x02a',b'925827',b'927.97'
b'-0.00177001953125',b'0.990478515625',b'0.1290283203125',b'0.04766845703125',b'1.405029296875',b'928076',b'\x01\x01\x00\x02a',b'925827',b'928.076'
b'-0.00177001953125',b'0.990478515625',b'0.12896728515625',b'0.04766845703125',b'1.4052734375',b'928183',b'\x01\x01\x00\x02a',b'925827',b'928.183'
b'-0.001708984375',b'0.990478515625',b'0.12896728515625',b'0.04766845703125',b'1.4052734375',b'928289',b'\x01\x01\x00\x02a',b'925827',b'928.289'
b'-0.001708984375',b'0.990478515625',b'0.1290283203125',b'0.047607421875',b'1.405517578125',b'928396',b'\x01\x01\x00\x02a',b'925827',b'928.396'
b'-0.001708984375',b'0.990478515625',b'0.12908935546875',b'0.047607421875',b'1.40576171875',b'928507',b'\x01\x01\x00\x02a',b'925827',b'928.507'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'0.0'
b'-0.001708984375',b'0.990478515625',b'0.129150390625',b'0.04754638671875',b'1.406005859375',b'928615',b'\x01\x01\x00\x02a',b'925827',b'928.615'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'0.0'
b'-0.001708984375',b'0.990478515625',b'0.129150390625',b'0.04754638671875',b'1.406005859375',b'928615',b'\x01\x01\x00\x02a',b'928726',b'928.615'
b'-0.00177001953125',b'0.990478515625',b'0.1290283203125',b'0.04766845703125',b'1.406494140625',b'928932',b'\x01\x01\x00\x02a',b'928726',b'928.932'
b'-0.00177001953125',b'0.990478515625',b'0.1290283203125',b'0.04766845703125',b'1.406494140625',b'929043',b'\x01\x01\x00\x02a',b'928726',b'929.043'
b'-0.00177001953125',b'0.990478515625',b'0.1290283203125',b'0.047607421875',b'1.406982421875',b'929148',b'\x01\x01\x00\x02a',b'928726',b'929.148'
b'-0.00177001953125',b'0.990478515625',b'0.1290283203125',b'0.047607421875',b'1.4072265625',b'929257',b'\x01\x01\x00\x02a',b'928726',b'929.257'
b'-0.001708984375',b'0.990478515625',b'0.12896728515625',b'0.04754638671875',b'1.4072265625',b'929363',b'\x01\x01\x00\x02a',b'928726',b'929.363'
b'-0.001708984375',b'0.990478515625',b'0.12896728515625',b'0.0474853515625',b'1.407470703125',b'929471',b'\x01\x01\x00\x02a',b'928726',b'929.471'
b'-0.001708984375',b'0.99053955078125',b'0.12896728515625',b'0.04742431640625',b'1.40771484375',b'929578',b'\x01\x01\x00\x02a',b'928726',b'929.578'
b'-0.00177001953125',b'0.99053955078125',b'0.12896728515625',b'0.04736328125',b'1.407958984375',b'929689',b'\x01\x01\x00\x02a',b'928726',b'929.689'
b'-0.001708984375',b'0.99053955078125',b'0.12896728515625',b'0.04736328125',b'1.407958984375',b'929796',b'\x01\x01\x00\x02a',b'928726',b'929.796'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'0.0'
b'-0.001708984375',b'0.99053955078125',b'0.12890625',b'0.04730224609375',b'1.408203125',b'929908',b'\x01\x01\x00\x02a',b'928726',b'929.908'
b'-0.00164794921875',b'0.99053955078125',b'0.12890625',b'0.04718017578125',b'1.40869140625',b'930015',b'\x01\x01\x00\x02a',b'928726',b'930.015'
b'-0.00164794921875',b'0.99053955078125',b'0.12890625',b'0.04718017578125',b'1.40869140625',b'930123',b'\x01\x01\x00\x02a',b'928726',b'930.123'
b'-0.001708984375',b'0.99053955078125',b'0.12890625',b'0.0472412109375',b'1.408935546875',b'930231',b'\x01\x01\x00\x02a',b'928726',b'930.231'
b'-0.001708984375',b'0.99053955078125',b'0.12890625',b'0.0472412109375',b'1.4091796875',b'930340',b'\x01\x01\x00\x02a',b'928726',b'930.34'
b'-0.001708984375',b'0.99053955078125',b'0.12890625',b'0.04718017578125',b'1.409423828125',b'930445',b'\x01\x01\x00\x02a',b'928726',b'930.445'
b'-0.00177001953125',b'0.99053955078125',b'0.12884521484375',b'0.0472412109375',b'1.409423828125',b'930552',b'\x01\x01\x00\x02a',b'928726',b'930.552'
b'-0.00164794921875',b'0.99053955078125',b'0.12890625',b'0.04718017578125',b'1.40966796875',b'930665',b'\x01\x01\x00\x02a',b'928726',b'930.665'
b'-0.00164794921875',b'0.99053955078125',b'0.12896728515625',b'0.04718017578125',b'1.409912109375',b'930771',b'\x01\x01\x00\x02a',b'928726',b'930.771'
b'-0.00164794921875',b'0.99053955078125',b'0.12896728515625',b'0.0472412109375',b'1.409912109375',b'930879',b'\x01\x01\x00\x02a',b'928726',b'930.879'
b'-0.001708984375',b'0.99053955078125',b'0.12896728515625',b'0.04730224609375',b'1.41015625',b'930985',b'\x01\x01\x00\x02a',b'928726',b'930.985'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'0.0'
b'-0.001708984375',b'0.99053955078125',b'0.12896728515625',b'0.04730224609375',b'1.410400390625',b'931094',b'\x01\x01\x00\x02a',b'928726',b'931.094'
b'-0.001708984375',b'0.99053955078125',b'0.1290283203125',b'0.04736328125',b'1.41064453125',b'931204',b'\x01\x01\x00\x02a',b'928726',b'931.204'
b'-0.00164794921875',b'0.990478515625',b'0.1290283203125',b'0.04736328125',b'1.410888671875',b'931311',b'\x01\x01\x00\x02a',b'928726',b'931.311'
