quatI,quatJ,quatK,quatReal,quatRadianAccuracy,rot_tick_ms,activityConfidence,tick_ms_activity,rot_epoch
b'0.35247802734375',b'0.552001953125',b'0.6370849609375',b'0.40643310546875',b'0.676513671875',b'781339',b'\x01\x01\x00\x02a',b'781162',b'781.339'
b'0.35205078125',b'0.5521240234375',b'0.63714599609375',b'0.40655517578125',b'0.677001953125',b'781439',b'\x01\x01\x00\x02a',b'781162',b'781.439'
b'0.3519287109375',b'0.55224609375',b'0.63775634765625',b'0.405517578125',b'0.677734375',b'781638',b'\x01\x01\x00\x02a',b'781162',b'781.638'
b'0.351806640625',b'0.55218505859375',b'0.637451171875',b'0.40625',b'0.67724609375',b'781539',b'\x01\x01\x00\x02a',b'781162',b'781.539'
b'0.35174560546875',b'0.55206298828125',b'0.63812255859375',b'0.4053955078125',b'0.677978515625',b'781738',b'\x01\x01\x00\x02a',b'781162',b'781.738'
b'0.3511962890625',b'0.55255126953125',b'0.6375732421875',b'0.40606689453125',b'0.678466796875',b'781837',b'\x01\x01\x00\x02a',b'781162',b'781.837'
b'0.353271484375',b'0.55096435546875',b'0.63507080078125',b'0.41021728515625',b'0.67919921875',b'782037',b'\x01\x01\x00\x02a',b'782141',b'782.037'
b'0.365234375',b'0.54254150390625',b'0.6246337890625',b'0.4267578125',b'0.6796875',b'782137',b'\x01\x01\x00\x02a',b'782141',b'782.137'
b'0.35101318359375',b'0.552734375',b'0.6370849609375',b'0.40667724609375',b'0.6787109375',b'781938',b'\x01\x01\x00\x02a',b'782141',b'781.938'
b'0.38958740234375',b'0.5240478515625',b'0.60125732421875',b'0.46044921875',b'0.68017578125',b'782236',b'\x01\x01\x00\x02a',b'782141',b'782.236'
b'0.41009521484375',b'0.5089111328125',b'0.57696533203125',b'0.4898681640625',b'0.6806640625',b'782337',b'\x01\x01\x00\x02a',b'782141',b'782.337'
b'0.4234619140625',b'0.4993896484375',b'0.563232421875',b'0.5040283203125',b'0.68115234375',b'782437',b'\x01\x01\x00\x02a',b'782141',b'782.437'
b'0.431640625',b'0.49334716796875',b'0.5538330078125',b'0.513427734375',b'0.681640625',b'782536',b'\x01\x01\x00\x02a',b'782141',b'782.536'
b'0.4317626953125',b'0.4942626953125',b'0.5511474609375',b'0.5152587890625',b'0.681884765625',b'782636',b'\x01\x01\x00\x02a',b'782141',b'782.636'
