blink_data,blink_tick_ms,epoch
0.0,-0.099,1616015408.925901
0.0,-0.098,1616015408.925902
0.0,-0.097,1616015408.925903
0.0,-0.096,1616015408.925904
0.0,-0.095,1616015408.925905
0.0,-0.094,1616015408.925906
0.0,-0.093,1616015408.925907
0.0,-0.092,1616015408.925908
0.0,-0.091,1616015408.925909
0.0,-0.09,1616015408.92591
0.0,-0.089,1616015408.925911
0.0,-0.088,1616015408.925912
0.0,-0.08700000000000001,1616015408.925913
0.0,-0.08600000000000001,1616015408.925914
0.0,-0.085,1616015408.925915
0.0,-0.084,1616015408.925916
0.0,-0.083,1616015408.925917
0.0,-0.082,1616015408.925918
0.0,-0.081,1616015408.925919
0.0,-0.08,1616015408.92592
0.0,-0.079,1616015408.925921
0.0,-0.078,1616015408.925922
0.0,-0.077,1616015408.925923
0.0,-0.076,1616015408.925924
0.0,-0.075,1616015408.925925
0.0,-0.074,1616015408.925926
0.0,-0.073,1616015408.925927
0.0,-0.07200000000000001,1616015408.925928
0.0,-0.07100000000000001,1616015408.925929
0.0,-0.07,1616015408.92593
0.0,-0.069,1616015408.925931
0.0,-0.068,1616015408.925932
0.0,-0.067,1616015408.925933
0.0,-0.066,1616015408.925934
0.0,-0.065,1616015408.925935
0.0,-0.064,1616015408.925936
0.0,-0.063,1616015408.925937
0.0,-0.062,1616015408.925938
0.0,-0.061,1616015408.925939
0.0,-0.06,1616015408.92594
0.0,-0.059000000000000004,1616015408.925941
0.0,-0.058,1616015408.925942
0.0,-0.057,1616015408.925943
0.0,-0.056,1616015408.925944
0.0,-0.055,1616015408.925945
0.0,-0.054,1616015408.925946
0.0,-0.053,1616015408.925947
0.0,-0.052000000000000005,1616015408.925948
0.0,-0.051000000000000004,1616015408.925949
0.0,-0.05,1616015408.92595
0.0,-0.049,1616015408.925951
0.0,-0.048,1616015408.925952
0.0,-0.047,1616015408.925953
0.0,-0.046,1616015408.925954
0.0,-0.045,1616015408.925955
0.0,-0.044,1616015408.925956
0.0,-0.043000000000000003,1616015408.925957
0.0,-0.042,1616015408.925958
0.0,-0.041,1616015408.925959
0.0,-0.04,1616015408.92596
0.0,-0.039,1616015408.925961
0.0,-0.038,1616015408.925962
0.0,-0.037,1616015408.925963
0.0,-0.036000000000000004,1616015408.925964
0.0,-0.035,1616015408.925965
0.0,-0.034,1616015408.925966
0.0,-0.033,1616015408.925967
0.0,-0.032,1616015408.925968
0.0,-0.031,1616015408.925969
0.0,-0.03,1616015408.92597
0.0,-0.029,1616015408.925971
0.0,-0.028,1616015408.925972
0.0,-0.027,1616015408.925973
0.0,-0.026000000000000002,1616015408.925974
0.0,-0.025,1616015408.925975
0.0,-0.024,1616015408.925976
0.0,-0.023,1616015408.925977
0.0,-0.022,1616015408.925978
0.0,-0.021,1616015408.925979
0.0,-0.02,1616015408.92598
0.0,-0.019,1616015408.925981
0.0,-0.018000000000000002,1616015408.925982
0.0,-0.017,1616015408.925983
0.0,-0.016,1616015408.925984
0.0,-0.015,1616015408.925985
0.0,-0.014,1616015408.925986
0.0,-0.013000000000000001,1616015408.925987
0.0,-0.012,1616015408.925988
0.0,-0.011,1616015408.925989
0.0,-0.01,1616015408.92599
0.0,-0.009000000000000001,1616015408.925991
0.0,-0.008,1616015408.925992
0.0,-0.007,1616015408.925993
0.0,-0.006,1616015408.925994
0.0,-0.005,1616015408.925995
0.0,-0.004,1616015408.925996
0.0,-0.003,1616015408.925997
0.0,-0.002,1616015408.925998
0.0,-0.001,1616015408.925999
0.0,0.0,1616015408.926
0.0,-0.099,1616015408.826901
0.0,-0.098,1616015408.826902
0.0,-0.097,1616015408.826903
0.0,-0.096,1616015408.826904
0.0,-0.095,1616015408.826905
0.0,-0.094,1616015408.826906
0.0,-0.093,1616015408.826907
0.0,-0.092,1616015408.826908
0.0,-0.091,1616015408.826909
0.0,-0.09,1616015408.82691
0.0,-0.089,1616015408.826911
0.0,-0.088,1616015408.826912
0.0,-0.08700000000000001,1616015408.826913
0.0,-0.08600000000000001,1616015408.826914
0.0,-0.085,1616015408.826915
0.0,-0.084,1616015408.826916
0.0,-0.083,1616015408.826917
0.0,-0.082,1616015408.826918
0.0,-0.081,1616015408.826919
0.0,-0.08,1616015408.82692
0.0,-0.079,1616015408.826921
0.0,-0.078,1616015408.826922
0.0,-0.077,1616015408.826923
0.0,-0.076,1616015408.826924
0.0,-0.075,1616015408.826925
0.0,-0.074,1616015408.826926
0.0,-0.073,1616015408.826927
0.0,-0.07200000000000001,1616015408.826928
0.0,-0.07100000000000001,1616015408.826929
0.0,-0.07,1616015408.82693
0.0,-0.069,1616015408.826931
0.0,-0.068,1616015408.826932
0.0,-0.067,1616015408.826933
0.0,-0.066,1616015408.826934
0.0,-0.065,1616015408.826935
0.0,-0.064,1616015408.826936
0.0,-0.063,1616015408.826937
0.0,-0.062,1616015408.826938
0.0,-0.061,1616015408.826939
0.0,-0.06,1616015408.82694
0.0,-0.059000000000000004,1616015408.826941
0.0,-0.058,1616015408.826942
0.0,-0.057,1616015408.826943
0.0,-0.056,1616015408.826944
0.0,-0.055,1616015408.826945
0.0,-0.054,1616015408.826946
0.0,-0.053,1616015408.826947
0.0,-0.052000000000000005,1616015408.826948
0.0,-0.051000000000000004,1616015408.826949
0.0,-0.05,1616015408.82695
0.0,-0.049,1616015408.826951
0.0,-0.048,1616015408.826952
0.0,-0.047,1616015408.826953
0.0,-0.046,1616015408.826954
0.0,-0.045,1616015408.826955
0.0,-0.044,1616015408.826956
0.0,-0.043000000000000003,1616015408.826957
0.0,-0.042,1616015408.826958
0.0,-0.041,1616015408.826959
0.0,-0.04,1616015408.82696
0.0,-0.039,1616015408.826961
0.0,-0.038,1616015408.826962
0.0,-0.037,1616015408.826963
0.0,-0.036000000000000004,1616015408.826964
0.0,-0.035,1616015408.826965
0.0,-0.034,1616015408.826966
0.0,-0.033,1616015408.826967
0.0,-0.032,1616015408.826968
0.0,-0.031,1616015408.826969
0.0,-0.03,1616015408.82697
0.0,-0.029,1616015408.826971
0.0,-0.028,1616015408.826972
0.0,-0.027,1616015408.826973
0.0,-0.026000000000000002,1616015408.826974
0.0,-0.025,1616015408.826975
0.0,-0.024,1616015408.826976
0.0,-0.023,1616015408.826977
0.0,-0.022,1616015408.826978
0.0,-0.021,1616015408.826979
0.0,-0.02,1616015408.82698
0.0,-0.019,1616015408.826981
0.0,-0.018000000000000002,1616015408.826982
0.0,-0.017,1616015408.826983
0.0,-0.016,1616015408.826984
0.0,-0.015,1616015408.826985
0.0,-0.014,1616015408.826986
0.0,-0.013000000000000001,1616015408.826987
0.0,-0.012,1616015408.826988
0.0,-0.011,1616015408.826989
0.0,-0.01,1616015408.82699
0.0,-0.009000000000000001,1616015408.826991
0.0,-0.008,1616015408.826992
0.0,-0.007,1616015408.826993
0.0,-0.006,1616015408.826994
0.0,-0.005,1616015408.826995
0.0,-0.004,1616015408.826996
0.0,-0.003,1616015408.826997
0.0,-0.002,1616015408.826998
0.0,-0.001,1616015408.826999
0.0,0.0,1616015408.827
0.0,-0.099,1616015408.727901
0.0,-0.098,1616015408.727902
0.0,-0.097,1616015408.727903
0.0,-0.096,1616015408.727904
0.0,-0.095,1616015408.727905
0.0,-0.094,1616015408.727906
0.0,-0.093,1616015408.727907
0.0,-0.092,1616015408.727908
0.0,-0.091,1616015408.727909
0.0,-0.09,1616015408.72791
0.0,-0.089,1616015408.727911
0.0,-0.088,1616015408.727912
0.0,-0.08700000000000001,1616015408.727913
0.0,-0.08600000000000001,1616015408.727914
0.0,-0.085,1616015408.727915
0.0,-0.084,1616015408.727916
0.0,-0.083,1616015408.727917
0.0,-0.082,1616015408.727918
0.0,-0.081,1616015408.727919
0.0,-0.08,1616015408.72792
0.0,-0.079,1616015408.727921
0.0,-0.078,1616015408.727922
0.0,-0.077,1616015408.727923
0.0,-0.076,1616015408.727924
0.0,-0.075,1616015408.727925
0.0,-0.074,1616015408.727926
0.0,-0.073,1616015408.727927
0.0,-0.07200000000000001,1616015408.727928
0.0,-0.07100000000000001,1616015408.727929
0.0,-0.07,1616015408.72793
0.0,-0.069,1616015408.727931
0.0,-0.068,1616015408.727932
