quatI,quatJ,quatK,quatReal,quatRadianAccuracy,rot_tick_ms,activityConfidence,tick_ms_activity,rot_epoch
b'0.01898193359375',b'0.06549072265625',b'-0.5950927734375',b'0.80072021484375',b'0.101318359375',b'215661',"b""'\n\x00\x06-""",b'213787',b'215.661'
b'0.01922607421875',b'0.065185546875',b'-0.59625244140625',b'0.7999267578125',b'0.101318359375',b'215765',"b""'\n\x00\x06-""",b'213787',b'215.765'
b'0.01922607421875',b'0.06475830078125',b'-0.597412109375',b'0.799072265625',b'0.1015625',b'215869',"b""'\n\x00\x06-""",b'213787',b'215.869'
b'0.01910400390625',b'0.064208984375',b'-0.59832763671875',b'0.7984619140625',b'0.100830078125',b'215973',"b""'\n\x00\x06-""",b'213787',b'215.973'
b'0.0189208984375',b'0.06500244140625',b'-0.599365234375',b'0.797607421875',b'0.1005859375',b'216076',"b""'\n\x00\x06-""",b'213787',b'216.076'
b'0.01885986328125',b'0.06524658203125',b'-0.6002197265625',b'0.79693603515625',b'0.1005859375',b'216180',"b""'\n\x00\x06-""",b'213787',b'216.18'
b'0.01910400390625',b'0.0653076171875',b'-0.60125732421875',b'0.796142578125',b'0.100341796875',b'216284',"b""'\n\x00\x06-""",b'213787',b'216.284'
b'0.01922607421875',b'0.0653076171875',b'-0.60174560546875',b'0.7957763671875',b'0.100830078125',b'216388',"b""'\n\x00\x06-""",b'213787',b'216.388'
