temple_temp,temple_therm,temple_tick_ms,nose_temp,nose_therm,nose_tick_ms,nose_epoch,temple_epoch
1953.0,1898.0,29115.0,1932.0,1865.0,29065.0,946684833.944,946684833.994
1951.0,1898.0,29216.0,1935.0,1864.0,29165.0,946684834.544,946684834.595
1953.0,1897.0,29315.0,1930.0,1867.0,29265.0,946684834.644,946684834.694
1950.0,1898.0,29415.0,1930.0,1866.0,29365.0,946684834.744,946684834.794
1952.0,1897.0,29515.0,1929.0,1865.0,29465.0,946684834.844,946684834.894
1954.0,1898.0,29615.0,1928.0,1865.0,29565.0,946684834.944,946684834.994
1953.0,1897.0,29715.0,1932.0,1865.0,29665.0,946684834.544,946684834.594
1952.0,1898.0,29815.0,1930.0,1865.0,29765.0,946684834.644,946684834.694
1951.0,1898.0,29915.0,1931.0,1869.0,29865.0,946684834.744,946684834.794
1950.0,1899.0,30015.0,1932.0,1867.0,29965.0,946684834.844,946684834.894
1950.0,1898.0,30115.0,1930.0,1865.0,30065.0,946684834.944,946684834.994
1947.0,1899.0,30215.0,1937.0,1866.0,30165.0,946684835.544,946684835.594
1946.0,1899.0,30315.0,1933.0,1866.0,30265.0,946684835.644,946684835.694
1944.0,1900.0,30415.0,1933.0,1866.0,30365.0,946684835.744,946684835.794
1944.0,1899.0,30515.0,1934.0,1865.0,30465.0,946684835.844,946684835.894
1944.0,1898.0,30615.0,1934.0,1866.0,30565.0,946684835.944,946684835.994
1942.0,1898.0,30715.0,1940.0,1865.0,30665.0,946684835.544,946684835.594
1943.0,1899.0,30815.0,1938.0,1865.0,30765.0,946684835.644,946684835.694
1942.0,1899.0,30915.0,1936.0,1865.0,30865.0,946684835.744,946684835.794
1944.0,1898.0,31015.0,1937.0,1865.0,30965.0,946684835.844,946684835.894
1943.0,1899.0,31115.0,1936.0,1865.0,31065.0,946684835.944,946684835.994
1940.0,1898.0,31216.0,1940.0,1866.0,31165.0,946684836.544,946684836.595
1937.0,1900.0,31315.0,1939.0,1865.0,31265.0,946684836.644,946684836.694
1936.0,1895.0,31415.0,1937.0,1866.0,31365.0,946684836.744,946684836.794
1934.0,1897.0,31515.0,1938.0,1865.0,31465.0,946684836.844,946684836.894
1934.0,1899.0,31615.0,1934.0,1869.0,31565.0,946684836.944,946684836.994
1931.0,1898.0,31716.0,1938.0,1865.0,31665.0,946684837.544,946684837.595
1933.0,1897.0,31815.0,1935.0,1865.0,31765.0,946684837.644,946684837.694
1934.0,1900.0,31915.0,1934.0,1865.0,31865.0,946684837.744,946684837.794
1936.0,1900.0,32015.0,1935.0,1863.0,31965.0,946684837.844,946684837.894
1934.0,1902.0,32115.0,1933.0,1864.0,32065.0,946684837.944,946684837.994
1931.0,1903.0,32215.0,1937.0,1866.0,32165.0,946684837.544,946684837.594
1929.0,1899.0,32315.0,1935.0,1868.0,32265.0,946684837.644,946684837.694
1926.0,1899.0,32415.0,1933.0,1863.0,32365.0,946684837.744,946684837.794
1925.0,1897.0,32515.0,1935.0,1863.0,32465.0,946684837.844,946684837.894
1923.0,1899.0,32615.0,1935.0,1864.0,32565.0,946684837.944,946684837.994
1923.0,1899.0,32715.0,1937.0,1864.0,32665.0,946684838.544,946684838.594
1924.0,1900.0,32815.0,1935.0,1864.0,32765.0,946684838.644,946684838.694
1921.0,1899.0,32915.0,1933.0,1863.0,32865.0,946684838.744,946684838.794
1923.0,1898.0,33015.0,1933.0,1863.0,32965.0,946684838.844,946684838.894
1924.0,1899.0,33115.0,1931.0,1865.0,33065.0,946684838.944,946684838.994
1923.0,1899.0,33216.0,1936.0,1865.0,33165.0,946684838.544,946684838.595
1925.0,1899.0,33315.0,1931.0,1863.0,33265.0,946684838.644,946684838.694
1926.0,1900.0,33415.0,1937.0,1864.0,33365.0,946684838.744,946684838.794
1927.0,1897.0,33515.0,1931.0,1865.0,33465.0,946684838.844,946684838.894
1927.0,1904.0,33615.0,1932.0,1862.0,33565.0,946684838.944,946684838.994
1927.0,1899.0,33716.0,1936.0,1864.0,33665.0,946684839.544,946684839.595
1929.0,1898.0,33815.0,1932.0,1864.0,33765.0,946684839.644,946684839.694
1929.0,1899.0,34015.0,1935.0,1863.0,33965.0,946684839.844,946684839.894
1930.0,1899.0,33915.0,1932.0,1863.0,33865.0,946684839.744,946684839.794
1930.0,1898.0,34115.0,1936.0,1862.0,34065.0,946684839.944,946684839.994
1930.0,1897.0,34315.0,1938.0,1860.0,34265.0,946684840.644,946684840.694
1930.0,1896.0,34216.0,1938.0,1864.0,34165.0,946684840.544,946684840.595
1929.0,1898.0,34415.0,1936.0,1860.0,34365.0,946684840.744,946684840.794
1929.0,1898.0,34515.0,1938.0,1862.0,34465.0,946684840.844,946684840.894
1929.0,1899.0,34615.0,1939.0,1865.0,34565.0,946684840.944,946684840.994
1929.0,1900.0,34716.0,1940.0,1863.0,34665.0,946684840.544,946684840.595
1929.0,1899.0,34815.0,1938.0,1865.0,34765.0,946684840.644,946684840.694
1927.0,1899.0,34915.0,1937.0,1864.0,34865.0,946684840.744,946684840.794
1927.0,1897.0,35015.0,1939.0,1864.0,34965.0,946684840.844,946684840.894
1927.0,1900.0,35115.0,1939.0,1863.0,35065.0,946684840.944,946684840.994
1926.0,1901.0,35215.0,1955.0,1863.0,35166.0,946684841.545,946684841.594
1928.0,1900.0,35315.0,1938.0,1859.0,35265.0,946684841.644,946684841.694
1926.0,1901.0,35415.0,1939.0,1861.0,35365.0,946684841.744,946684841.794
1925.0,1899.0,35515.0,1940.0,1861.0,35465.0,946684841.844,946684841.894
1923.0,1899.0,35615.0,1940.0,1862.0,35565.0,946684841.944,946684841.994
1922.0,1900.0,35715.0,1942.0,1863.0,35665.0,946684841.544,946684841.594
1921.0,1898.0,35815.0,1940.0,1862.0,35765.0,946684841.644,946684841.694
1920.0,1899.0,35915.0,1940.0,1862.0,35865.0,946684841.744,946684841.794
1919.0,1899.0,36015.0,1941.0,1861.0,35965.0,946684841.844,946684841.894
