pos_x,pos_y,pos_z,pos_accuracy,time_ms_pos,pos_epoch,parsed_pos_epoch
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,946684803.879
0.0,0.0,0.0,0.0,0.0,0.0,946684803.879
0.0,0.0,0.0,0.0,0.0,0.0,946684803.879
0.0,0.0,0.0,0.0,0.0,0.0,946684803.879
0.0,0.0,0.0,0.0,0.0,0.0,946684803.879
0.0,0.0,0.0,0.0,0.0,0.0,946684803.379
0.0,0.0,0.0,0.0,0.0,0.0,946684803.379
0.0,0.0,0.0,0.0,0.0,0.0,946684803.379
0.0,0.0,0.0,0.0,0.0,0.0,946684803.379
0.0,0.0,0.0,0.0,0.0,0.0,946684803.379
0.0,0.0,0.0,0.0,0.0,0.0,946684803.879
0.0,0.0,0.0,0.0,0.0,0.0,946684803.879
0.0,0.0,0.0,0.0,0.0,0.0,946684803.879
0.0,0.0,0.0,0.0,0.0,0.0,946684803.879
0.0,0.0,0.0,0.0,0.0,0.0,946684803.879
0.0,0.0,0.0,0.0,0.0,0.0,946684804.379
0.0,0.0,0.0,0.0,0.0,0.0,946684804.379
0.0,0.0,0.0,0.0,0.0,0.0,946684804.379
0.0,0.0,0.0,0.0,0.0,0.0,946684804.379
0.0,0.0,0.0,0.0,0.0,0.0,946684804.379
0.0,0.0,0.0,0.0,0.0,0.0,946684803.879
0.0,0.0,0.0,0.0,0.0,0.0,946684803.879
0.0,0.0,0.0,0.0,0.0,0.0,946684803.879
0.0,0.0,0.0,0.0,0.0,0.0,946684803.879
0.0,0.0,0.0,0.0,0.0,0.0,946684803.879
0.0,0.0,0.0,0.0,0.0,0.0,946684804.379
0.0,0.0,0.0,0.0,0.0,0.0,946684804.379
0.0,0.0,0.0,0.0,0.0,0.0,946684804.379
0.0,0.0,0.0,0.0,0.0,0.0,946684804.379
0.0,0.0,0.0,0.0,0.0,0.0,946684804.379
0.0,0.0,0.0,0.0,0.0,0.0,946684803.879
0.0,0.0,0.0,0.0,0.0,0.0,946684803.879
