blink_data,blink_tick_ms,epoch
224.0,8382.901,1581714728.505901
211.0,8382.902,1581714728.505902
201.0,8382.903,1581714728.505903
193.0,8382.904,1581714728.505904
188.0,8382.905,1581714728.505905
184.0,8382.906,1581714728.505906
181.0,8382.907,1581714728.505907
179.0,8382.908,1581714728.505908
177.0,8382.909,1581714728.505909
176.0,8382.91,1581714728.50591
176.0,8382.911,1581714728.505911
175.0,8382.912,1581714728.505912
175.0,8382.913,1581714728.505913
174.0,8382.914,1581714728.505914
174.0,8382.915,1581714728.505915
173.0,8382.916,1581714728.505916
173.0,8382.917,1581714728.505917
173.0,8382.918,1581714728.505918
174.0,8382.919,1581714728.505919
174.0,8382.92,1581714728.50592
174.0,8382.921,1581714728.505921
174.0,8382.922,1581714728.505922
172.0,8382.923,1581714728.505923
173.0,8382.924,1581714728.505924
174.0,8382.925,1581714728.505925
173.0,8382.926,1581714728.505926
174.0,8382.927,1581714728.505927
174.0,8382.928,1581714728.505928
173.0,8382.929,1581714728.505929
168.0,8382.93,1581714728.50593
168.0,8382.931,1581714728.505931
170.0,8382.932,1581714728.505932
170.0,8382.933,1581714728.505933
178.0,8382.934,1581714728.505934
177.0,8382.935,1581714728.505935
176.0,8382.936,1581714728.505936
176.0,8382.937,1581714728.505937
176.0,8382.938,1581714728.505938
175.0,8382.939,1581714728.505939
175.0,8382.94,1581714728.50594
175.0,8382.941,1581714728.505941
175.0,8382.942,1581714728.505942
173.0,8382.943,1581714728.505943
173.0,8382.944,1581714728.505944
173.0,8382.945,1581714728.505945
173.0,8382.946,1581714728.505946
173.0,8382.947,1581714728.505947
174.0,8382.948,1581714728.505948
173.0,8382.949,1581714728.505949
174.0,8382.95,1581714728.50595
173.0,8382.951,1581714728.505951
174.0,8382.952,1581714728.505952
173.0,8382.953,1581714728.505953
174.0,8382.954,1581714728.505954
173.0,8382.955,1581714728.505955
174.0,8382.956,1581714728.505956
173.0,8382.957,1581714728.505957
174.0,8382.958,1581714728.505958
175.0,8382.959,1581714728.505959
174.0,8382.96,1581714728.50596
173.0,8382.961,1581714728.505961
173.0,8382.962,1581714728.505962
173.0,8382.963,1581714728.505963
173.0,8382.964,1581714728.505964
173.0,8382.965,1581714728.505965
173.0,8382.966,1581714728.505966
173.0,8382.967,1581714728.505967
167.0,8382.968,1581714728.505968
169.0,8382.969,1581714728.505969
169.0,8382.97,1581714728.50597
170.0,8382.971,1581714728.505971
177.0,8382.972,1581714728.505972
177.0,8382.973,1581714728.505973
176.0,8382.974,1581714728.505974
176.0,8382.975,1581714728.505975
176.0,8382.976,1581714728.505976
176.0,8382.977,1581714728.505977
174.0,8382.978,1581714728.505978
174.0,8382.979,1581714728.505979
173.0,8382.98,1581714728.50598
173.0,8382.981,1581714728.505981
173.0,8382.982,1581714728.505982
173.0,8382.983,1581714728.505983
173.0,8382.984,1581714728.505984
174.0,8382.985,1581714728.505985
173.0,8382.986,1581714728.505986
174.0,8382.987,1581714728.505987
173.0,8382.988,1581714728.505988
174.0,8382.989,1581714728.505989
173.0,8382.99,1581714728.50599
174.0,8382.991,1581714728.505991
173.0,8382.992,1581714728.505992
174.0,8382.993,1581714728.505993
175.0,8382.994,1581714728.505994
175.0,8382.995,1581714728.505995
173.0,8382.996,1581714728.505996
173.0,8382.997,1581714728.505997
173.0,8382.998,1581714728.505998
173.0,8382.999,1581714728.505999
173.0,8383.0,1581714728.506
174.0,8382.901,1581714728.405901
173.0,8382.902,1581714728.405902
174.0,8382.903,1581714728.405903
173.0,8382.904,1581714728.405904
168.0,8382.905,1581714728.405905
169.0,8382.906,1581714728.405906
169.0,8382.907,1581714728.405907
170.0,8382.908,1581714728.405908
177.0,8382.909,1581714728.405909
177.0,8382.91,1581714728.40591
177.0,8382.911,1581714728.405911
177.0,8382.912,1581714728.405912
175.0,8382.913,1581714728.405913
175.0,8382.914,1581714728.405914
174.0,8382.915,1581714728.405915
174.0,8382.916,1581714728.405916
173.0,8382.917,1581714728.405917
174.0,8382.918,1581714728.405918
173.0,8382.919,1581714728.405919
174.0,8382.92,1581714728.40592
173.0,8382.921,1581714728.405921
174.0,8382.922,1581714728.405922
173.0,8382.923,1581714728.405923
174.0,8382.924,1581714728.405924
173.0,8382.925,1581714728.405925
174.0,8382.926,1581714728.405926
173.0,8382.927,1581714728.405927
174.0,8382.928,1581714728.405928
175.0,8382.929,1581714728.405929
175.0,8382.93,1581714728.40593
173.0,8382.931,1581714728.405931
173.0,8382.932,1581714728.405932
173.0,8382.933,1581714728.405933
174.0,8382.934,1581714728.405934
175.0,8382.935,1581714728.405935
174.0,8382.936,1581714728.405936
174.0,8382.937,1581714728.405937
174.0,8382.938,1581714728.405938
174.0,8382.939,1581714728.405939
174.0,8382.94,1581714728.40594
174.0,8382.941,1581714728.405941
174.0,8382.942,1581714728.405942
168.0,8382.943,1581714728.405943
169.0,8382.944,1581714728.405944
170.0,8382.945,1581714728.405945
170.0,8382.946,1581714728.405946
178.0,8382.947,1581714728.405947
177.0,8382.948,1581714728.405948
176.0,8382.949,1581714728.405949
176.0,8382.95,1581714728.40595
175.0,8382.951,1581714728.405951
175.0,8382.952,1581714728.405952
174.0,8382.953,1581714728.405953
174.0,8382.954,1581714728.405954
174.0,8382.955,1581714728.405955
174.0,8382.956,1581714728.405956
174.0,8382.957,1581714728.405957
174.0,8382.958,1581714728.405958
173.0,8382.959,1581714728.405959
173.0,8382.96,1581714728.40596
173.0,8382.961,1581714728.405961
173.0,8382.962,1581714728.405962
173.0,8382.963,1581714728.405963
173.0,8382.964,1581714728.405964
173.0,8382.965,1581714728.405965
173.0,8382.966,1581714728.405966
174.0,8382.967,1581714728.405967
174.0,8382.968,1581714728.405968
173.0,8382.969,1581714728.405969
173.0,8382.97,1581714728.40597
173.0,8382.971,1581714728.405971
173.0,8382.972,1581714728.405972
173.0,8382.973,1581714728.405973
174.0,8382.974,1581714728.405974
173.0,8382.975,1581714728.405975
173.0,8382.976,1581714728.405976
173.0,8382.977,1581714728.405977
173.0,8382.978,1581714728.405978
173.0,8382.979,1581714728.405979
168.0,8382.98,1581714728.40598
169.0,8382.981,1581714728.405981
170.0,8382.982,1581714728.405982
170.0,8382.983,1581714728.405983
177.0,8382.984,1581714728.405984
177.0,8382.985,1581714728.405985
176.0,8382.986,1581714728.405986
176.0,8382.987,1581714728.405987
175.0,8382.988,1581714728.405988
175.0,8382.989,1581714728.405989
174.0,8382.99,1581714728.40599
174.0,8382.991,1581714728.405991
174.0,8382.992,1581714728.405992
174.0,8382.993,1581714728.405993
173.0,8382.994,1581714728.405994
173.0,8382.995,1581714728.405995
173.0,8382.996,1581714728.405996
173.0,8382.997,1581714728.405997
173.0,8382.998,1581714728.405998
173.0,8382.999,1581714728.405999
173.0,8383.0,1581714728.406
173.0,8382.901,1581714728.306901
174.0,8382.902,1581714728.306902
174.0,8382.903,1581714728.306903
173.0,8382.904,1581714728.306904
174.0,8382.905,1581714728.306905
174.0,8382.906,1581714728.306906
173.0,8382.907,1581714728.306907
173.0,8382.908,1581714728.306908
173.0,8382.909,1581714728.306909
173.0,8382.91,1581714728.30691
173.0,8382.911,1581714728.306911
173.0,8382.912,1581714728.306912
173.0,8382.913,1581714728.306913
173.0,8382.914,1581714728.306914
173.0,8382.915,1581714728.306915
173.0,8382.916,1581714728.306916
173.0,8382.917,1581714728.306917
167.0,8382.918,1581714728.306918
169.0,8382.919,1581714728.306919
169.0,8382.92,1581714728.30692
170.0,8382.921,1581714728.306921
178.0,8382.922,1581714728.306922
176.0,8382.923,1581714728.306923
176.0,8382.924,1581714728.306924
176.0,8382.925,1581714728.306925
175.0,8382.926,1581714728.306926
175.0,8382.927,1581714728.306927
174.0,8382.928,1581714728.306928
174.0,8382.929,1581714728.306929
174.0,8382.93,1581714728.30693
173.0,8382.931,1581714728.306931
173.0,8382.932,1581714728.306932
173.0,8382.933,1581714728.306933
173.0,8382.934,1581714728.306934
173.0,8382.935,1581714728.306935
173.0,8382.936,1581714728.306936
173.0,8382.937,1581714728.306937
173.0,8382.938,1581714728.306938
173.0,8382.939,1581714728.306939
173.0,8382.94,1581714728.30694
173.0,8382.941,1581714728.306941
173.0,8382.942,1581714728.306942
173.0,8382.943,1581714728.306943
173.0,8382.944,1581714728.306944
173.0,8382.945,1581714728.306945
173.0,8382.946,1581714728.306946
173.0,8382.947,1581714728.306947
173.0,8382.948,1581714728.306948
173.0,8382.949,1581714728.306949
173.0,8382.95,1581714728.30695
173.0,8382.951,1581714728.306951
173.0,8382.952,1581714728.306952
173.0,8382.953,1581714728.306953
173.0,8382.954,1581714728.306954
168.0,8382.955,1581714728.306955
169.0,8382.956,1581714728.306956
170.0,8382.957,1581714728.306957
170.0,8382.958,1581714728.306958
177.0,8382.959,1581714728.306959
177.0,8382.96,1581714728.30696
176.0,8382.961,1581714728.306961
176.0,8382.962,1581714728.306962
175.0,8382.963,1581714728.306963
175.0,8382.964,1581714728.306964
174.0,8382.965,1581714728.306965
174.0,8382.966,1581714728.306966
174.0,8382.967,1581714728.306967
174.0,8382.968,1581714728.306968
173.0,8382.969,1581714728.306969
173.0,8382.97,1581714728.30697
173.0,8382.971,1581714728.306971
173.0,8382.972,1581714728.306972
173.0,8382.973,1581714728.306973
173.0,8382.974,1581714728.306974
173.0,8382.975,1581714728.306975
173.0,8382.976,1581714728.306976
173.0,8382.977,1581714728.306977
173.0,8382.978,1581714728.306978
