quatI,quatJ,quatK,quatReal,quatRadianAccuracy,rot_tick_ms,activityConfidence,tick_ms_activity,rot_epoch
b'-0.10906982421875',b'0.98443603515625',b'0.13385009765625',b'0.033447265625',b'1.18408203125',b'749577',b'\x01\x01\x00\x02a',b'746881',b'749.577'
b'-0.109130859375',b'0.984375',b'0.1339111328125',b'0.03350830078125',b'1.184326171875',b'749683',b'\x01\x01\x00\x02a',b'746881',b'749.683'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'0.0'
b'-0.109130859375',b'0.984375',b'0.1339111328125',b'0.03350830078125',b'1.184326171875',b'749683',b'\x01\x01\x00\x02a',b'749795',b'749.683'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'0.0'
b'-0.109130859375',b'0.984375',b'0.13385009765625',b'0.03369140625',b'1.1845703125',b'750001',b'\x01\x01\x00\x02a',b'749795',b'750.001'
b'-0.109130859375',b'0.984375',b'0.1337890625',b'0.03369140625',b'1.184814453125',b'750115',b'\x01\x01\x00\x02a',b'749795',b'750.115'
b'-0.1092529296875',b'0.984375',b'0.13385009765625',b'0.03363037109375',b'1.185302734375',b'750223',b'\x01\x01\x00\x02a',b'749795',b'750.223'
b'-0.1092529296875',b'0.984375',b'0.13385009765625',b'0.0335693359375',b'1.185546875',b'750331',b'\x01\x01\x00\x02a',b'749795',b'750.331'
b'-0.10931396484375',b'0.984375',b'0.13385009765625',b'0.03363037109375',b'1.185791015625',b'750438',b'\x01\x01\x00\x02a',b'749795',b'750.438'
b'-0.10931396484375',b'0.984375',b'0.13385009765625',b'0.03363037109375',b'1.18603515625',b'750546',b'\x01\x01\x00\x02a',b'749795',b'750.546'
b'-0.10931396484375',b'0.984375',b'0.13385009765625',b'0.03363037109375',b'1.186279296875',b'750653',b'\x01\x01\x00\x02a',b'749795',b'750.653'
b'-0.109375',b'0.984375',b'0.13385009765625',b'0.0335693359375',b'1.186279296875',b'750767',b'\x01\x01\x00\x02a',b'749795',b'750.767'
b'-0.10943603515625',b'0.984375',b'0.13385009765625',b'0.03369140625',b'1.186767578125',b'750873',b'\x01\x01\x00\x02a',b'749795',b'750.873'
b'-0.1094970703125',b'0.984375',b'0.13372802734375',b'0.03363037109375',b'1.18701171875',b'750980',b'\x01\x01\x00\x02a',b'749795',b'750.98'
b'-0.1094970703125',b'0.984375',b'0.1336669921875',b'0.03363037109375',b'1.187255859375',b'751088',b'\x01\x01\x00\x02a',b'749795',b'751.088'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'0.0'
b'-0.10955810546875',b'0.984375',b'0.1336669921875',b'0.03363037109375',b'1.1875',b'751196',b'\x01\x01\x00\x02a',b'749795',b'751.196'
b'-0.1094970703125',b'0.984375',b'0.1336669921875',b'0.0335693359375',b'1.187744140625',b'751302',b'\x01\x01\x00\x02a',b'749795',b'751.302'
b'-0.10955810546875',b'0.984375',b'0.1336669921875',b'0.0335693359375',b'1.18798828125',b'751410',b'\x01\x01\x00\x02a',b'749795',b'751.41'
b'-0.10955810546875',b'0.984375',b'0.13360595703125',b'0.0335693359375',b'1.18798828125',b'751519',b'\x01\x01\x00\x02a',b'749795',b'751.519'
b'-0.109619140625',b'0.984375',b'0.13360595703125',b'0.0335693359375',b'1.188232421875',b'751626',b'\x01\x01\x00\x02a',b'749795',b'751.626'
b'-0.109619140625',b'0.984375',b'0.1336669921875',b'0.0335693359375',b'1.1884765625',b'751737',b'\x01\x01\x00\x02a',b'749795',b'751.737'
b'-0.10968017578125',b'0.984375',b'0.1336669921875',b'0.03363037109375',b'1.188720703125',b'751843',b'\x01\x01\x00\x02a',b'749795',b'751.843'
b'-0.109619140625',b'0.984375',b'0.13372802734375',b'0.03350830078125',b'1.18896484375',b'751949',b'\x01\x01\x00\x02a',b'749795',b'751.949'
b'-0.109619140625',b'0.984375',b'0.13372802734375',b'0.0335693359375',b'1.189208984375',b'752062',b'\x01\x01\x00\x02a',b'749795',b'752.062'
b'-0.109619140625',b'0.984375',b'0.13372802734375',b'0.0335693359375',b'1.189697265625',b'752168',b'\x01\x01\x00\x02a',b'749795',b'752.168'
b'-0.109619140625',b'0.984375',b'0.13372802734375',b'0.0335693359375',b'1.189697265625',b'752276',b'\x01\x01\x00\x02a',b'749795',b'752.276'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'0.0'
b'-0.109619140625',b'0.984375',b'0.13372802734375',b'0.0335693359375',b'1.18994140625',b'752383',b'\x01\x01\x00\x02a',b'749795',b'752.383'
b'-0.109619140625',b'0.984375',b'0.13372802734375',b'0.03350830078125',b'1.190185546875',b'752491',b'\x01\x01\x00\x02a',b'749795',b'752.491'
b'-0.109619140625',b'0.984375',b'0.1336669921875',b'0.03350830078125',b'1.1904296875',b'752599',b'\x01\x01\x00\x02a',b'749795',b'752.599'
b'-0.109619140625',b'0.984375',b'0.13360595703125',b'0.033447265625',b'1.190673828125',b'752711',b'\x01\x01\x00\x02a',b'749795',b'752.711'
b'-0.109619140625',b'0.984375',b'0.13360595703125',b'0.03350830078125',b'1.19091796875',b'752817',b'\x01\x01\x00\x02a',b'749795',b'752.817'
b'-0.10968017578125',b'0.984375',b'0.133544921875',b'0.03350830078125',b'1.191162109375',b'752925',b'\x01\x01\x00\x02a',b'749795',b'752.925'
b'-0.10968017578125',b'0.984375',b'0.133544921875',b'0.033447265625',b'1.19140625',b'753031',b'\x01\x01\x00\x02a',b'749795',b'753.031'
b'-0.10968017578125',b'0.984375',b'0.133544921875',b'0.03338623046875',b'1.19140625',b'753137',b'\x01\x01\x00\x02a',b'749795',b'753.137'
