pos_x,pos_y,pos_z,pos_accuracy,time_ms_pos,pos_epoch,parsed_pos_epoch
0.0,0.0,0.0,0.0,0.0,0.0,946684801.118
0.0,0.0,0.0,0.0,0.0,0.0,946684801.118
0.0,0.0,0.0,0.0,0.0,0.0,946684801.118
0.0,0.0,0.0,0.0,0.0,0.0,946684801.118
0.0,0.0,0.0,0.0,0.0,0.0,946684801.118
0.0,0.0,0.0,0.0,0.0,0.0,946684801.618
0.0,0.0,0.0,0.0,0.0,0.0,946684801.618
0.0,0.0,0.0,0.0,0.0,0.0,946684801.618
0.0,0.0,0.0,0.0,0.0,0.0,946684801.618
0.0,0.0,0.0,0.0,0.0,0.0,946684801.618
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684801.618
0.0,0.0,0.0,0.0,0.0,0.0,946684801.618
0.0,0.0,0.0,0.0,0.0,0.0,946684801.618
0.0,0.0,0.0,0.0,0.0,0.0,946684801.618
0.0,0.0,0.0,0.0,0.0,0.0,946684801.618
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684801.618
0.0,0.0,0.0,0.0,0.0,0.0,946684801.618
0.0,0.0,0.0,0.0,0.0,0.0,946684801.618
0.0,0.0,0.0,0.0,0.0,0.0,946684801.618
0.0,0.0,0.0,0.0,0.0,0.0,946684801.618
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.618
0.0,0.0,0.0,0.0,0.0,0.0,946684802.618
0.0,0.0,0.0,0.0,0.0,0.0,946684802.618
0.0,0.0,0.0,0.0,0.0,0.0,946684802.618
0.0,0.0,0.0,0.0,0.0,0.0,946684802.618
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.118
0.0,0.0,0.0,0.0,0.0,0.0,946684802.618
0.0,0.0,0.0,0.0,0.0,0.0,946684802.618
0.0,0.0,0.0,0.0,0.0,0.0,946684802.618
