blink_data,blink_tick_ms,epoch
229.0,163499.901,1581541429.505901
213.0,163499.902,1581541429.505902
202.0,163499.903,1581541429.505903
194.0,163499.904,1581541429.505904
189.0,163499.905,1581541429.505905
185.0,163499.906,1581541429.505906
182.0,163499.907,1581541429.505907
179.0,163499.908,1581541429.505908
177.0,163499.909,1581541429.505909
177.0,163499.91,1581541429.50591
176.0,163499.911,1581541429.505911
175.0,163499.912,1581541429.505912
175.0,163499.913,1581541429.505913
174.0,163499.914,1581541429.505914
173.0,163499.915,1581541429.505915
173.0,163499.916,1581541429.505916
173.0,163499.917,1581541429.505917
173.0,163499.918,1581541429.505918
174.0,163499.919,1581541429.505919
175.0,163499.92,1581541429.50592
174.0,163499.921,1581541429.505921
174.0,163499.922,1581541429.505922
173.0,163499.923,1581541429.505923
173.0,163499.924,1581541429.505924
174.0,163499.925,1581541429.505925
173.0,163499.926,1581541429.505926
174.0,163499.927,1581541429.505927
173.0,163499.928,1581541429.505928
173.0,163499.929,1581541429.505929
168.0,163499.93,1581541429.50593
168.0,163499.931,1581541429.505931
170.0,163499.932,1581541429.505932
170.0,163499.933,1581541429.505933
178.0,163499.934,1581541429.505934
177.0,163499.935,1581541429.505935
176.0,163499.936,1581541429.505936
176.0,163499.937,1581541429.505937
175.0,163499.938,1581541429.505938
174.0,163499.939,1581541429.505939
174.0,163499.94,1581541429.50594
175.0,163499.941,1581541429.505941
175.0,163499.942,1581541429.505942
173.0,163499.943,1581541429.505943
173.0,163499.944,1581541429.505944
173.0,163499.945,1581541429.505945
173.0,163499.946,1581541429.505946
174.0,163499.947,1581541429.505947
173.0,163499.948,1581541429.505948
173.0,163499.949,1581541429.505949
174.0,163499.95,1581541429.50595
174.0,163499.951,1581541429.505951
174.0,163499.952,1581541429.505952
173.0,163499.953,1581541429.505953
174.0,163499.954,1581541429.505954
174.0,163499.955,1581541429.505955
174.0,163499.956,1581541429.505956
174.0,163499.957,1581541429.505957
173.0,163499.958,1581541429.505958
174.0,163499.959,1581541429.505959
173.0,163499.96,1581541429.50596
173.0,163499.961,1581541429.505961
173.0,163499.962,1581541429.505962
173.0,163499.963,1581541429.505963
173.0,163499.964,1581541429.505964
