quatI,quatJ,quatK,quatReal,quatRadianAccuracy,rot_tick_ms,activityConfidence,tick_ms_activity,rot_epoch
b'-0.642578125',b'-0.33062744140625',b'-0.64990234375',b'0.23529052734375',b'3.1416015625',b'411470',b'\x00\x01\x00\x00c',b'410819',b'946685303.613'
b'-0.640869140625',b'-0.331298828125',b'-0.651123046875',b'0.2357177734375',b'3.1416015625',b'411570',b'\x01\x01\x00\x02a',b'411799',b'946685304.213'
b'-0.64141845703125',b'-0.33148193359375',b'-0.64984130859375',b'0.237548828125',b'3.1416015625',b'411669',b'\x01\x01\x00\x02a',b'411799',b'946685304.312'
b'-0.64154052734375',b'-0.331787109375',b'-0.6485595703125',b'0.240234375',b'3.1416015625',b'411769',b'\x01\x01\x00\x02a',b'411799',b'946685304.412'
b'-0.64178466796875',b'-0.33197021484375',b'-0.647705078125',b'0.24169921875',b'3.1416015625',b'411870',b'\x01\x01\x00\x02a',b'411799',b'946685304.513'
b'-0.64227294921875',b'-0.33184814453125',b'-0.64715576171875',b'0.24200439453125',b'3.1416015625',b'411969',b'\x01\x01\x00\x02a',b'411799',b'946685304.612'
b'-0.642578125',b'-0.3323974609375',b'-0.646484375',b'0.24212646484375',b'3.1416015625',b'412069',b'\x01\x01\x00\x02a',b'411799',b'946685305.212'
b'-0.6422119140625',b'-0.33294677734375',b'-0.64617919921875',b'0.2431640625',b'3.1416015625',b'412168',b'\x01\x01\x00\x02a',b'411799',b'946685305.311'
b'-0.63458251953125',b'-0.34722900390625',b'-0.63311767578125',b'0.27545166015625',b'3.1416015625',b'412368',b'\x01\x01\x00\x02a',b'411799',b'946685305.511'
b'-0.64117431640625',b'-0.335205078125',b'-0.64453125',b'0.2471923828125',b'3.1416015625',b'412269',b'\x01\x01\x00\x02a',b'411799',b'946685305.412'
b'-0.61090087890625',b'-0.3787841796875',b'-0.60064697265625',b'0.3499755859375',b'3.1416015625',b'412468',b'\x01\x01\x00\x02a',b'411799',b'946685305.611'
b'-0.587158203125',b'-0.41168212890625',b'-0.569091796875',b'0.40240478515625',b'3.1416015625',b'412567',b'\x01\x01\x00\x02a',b'412778',b'946685305.21'
b'-0.557373046875',b'-0.45697021484375',b'-0.53948974609375',b'0.4351806640625',b'3.1416015625',b'412668',b'\x01\x01\x00\x02a',b'412778',b'946685305.311'
b'-0.4853515625',b'-0.55865478515625',b'-0.47149658203125',b'0.4796142578125',b'3.1416015625',b'412867',b'\x01\x01\x00\x02a',b'412778',b'946685305.51'
b'-0.468017578125',b'-0.5809326171875',b'-0.45477294921875',b'0.4864501953125',b'3.1416015625',b'413067',b'\x01\x01\x00\x02a',b'412778',b'946685305.71'
b'-0.47198486328125',b'-0.575439453125',b'-0.460205078125',b'0.484130859375',b'3.1416015625',b'412967',b'\x01\x01\x00\x02a',b'412778',b'946685305.61'
b'-0.4661865234375',b'-0.5848388671875',b'-0.45086669921875',b'0.48724365234375',b'3.1416015625',b'413166',b'\x01\x01\x00\x02a',b'412778',b'946685306.309'
b'-0.46734619140625',b'-0.585693359375',b'-0.45111083984375',b'0.48480224609375',b'3.1416015625',b'413266',b'\x01\x01\x00\x02a',b'412778',b'946685306.409'
b'-0.47344970703125',b'-0.58709716796875',b'-0.44598388671875',b'0.48193359375',b'3.1416015625',b'413366',b'\x01\x01\x00\x02a',b'412778',b'946685306.509'
b'-0.47564697265625',b'-0.5850830078125',b'-0.44085693359375',b'0.4869384765625',b'3.1416015625',b'413466',b'\x01\x01\x00\x02a',b'412778',b'946685306.609'
b'-0.47576904296875',b'-0.58282470703125',b'-0.438720703125',b'0.49139404296875',b'3.1416015625',b'413566',b'\x01\x01\x00\x02a',b'413759',b'946685306.709'
b'-0.47808837890625',b'-0.5791015625',b'-0.44403076171875',b'0.48883056640625',b'3.1416015625',b'413665',b'\x01\x01\x00\x02a',b'413759',b'946685307.308'
b'-0.4852294921875',b'-0.5748291015625',b'-0.4466552734375',b'0.484375',b'3.1416015625',b'413765',b'\x01\x01\x00\x02a',b'413759',b'946685307.408'
b'-0.49127197265625',b'-0.56964111328125',b'-0.447509765625',b'0.483642578125',b'3.1416015625',b'413865',b'\x01\x01\x00\x02a',b'413759',b'946685307.508'
b'-0.4951171875',b'-0.5653076171875',b'-0.447509765625',b'0.4847412109375',b'3.1416015625',b'413965',b'\x01\x01\x00\x02a',b'413759',b'946685307.608'
b'-0.49700927734375',b'-0.56097412109375',b'-0.4490966796875',b'0.4864501953125',b'3.1416015625',b'414065',b'\x01\x01\x00\x02a',b'413759',b'946685307.208'
b'-0.49835205078125',b'-0.55633544921875',b'-0.45294189453125',b'0.48681640625',b'3.1416015625',b'414165',b'\x01\x01\x00\x02a',b'413759',b'946685307.308'
b'-0.49810791015625',b'-0.5545654296875',b'-0.45556640625',b'0.48663330078125',b'3.1416015625',b'414264',b'\x01\x01\x00\x02a',b'413759',b'946685307.407'
b'-0.50048828125',b'-0.55438232421875',b'-0.4539794921875',b'0.4859619140625',b'3.1416015625',b'414364',b'\x01\x01\x00\x02a',b'413759',b'946685307.507'
b'-0.503662109375',b'-0.55377197265625',b'-0.452392578125',b'0.48480224609375',b'3.1416015625',b'414464',b'\x01\x01\x00\x02a',b'413759',b'946685307.607'
b'-0.50537109375',b'-0.55340576171875',b'-0.45013427734375',b'0.4854736328125',b'3.1416015625',b'414564',b'\x01\x01\x00\x02a',b'414737',b'946685308.207'
b'-0.50665283203125',b'-0.5531005859375',b'-0.4456787109375',b'0.4886474609375',b'3.1416015625',b'414763',b'\x01\x01\x00\x02a',b'414737',b'946685308.406'
b'-0.50555419921875',b'-0.553955078125',b'-0.44775390625',b'0.4869384765625',b'3.1416015625',b'414664',b'\x01\x01\x00\x02a',b'414737',b'946685308.307'
b'-0.5074462890625',b'-0.5521240234375',b'-0.44390869140625',b'0.49053955078125',b'3.1416015625',b'414863',b'\x01\x01\x00\x02a',b'414737',b'946685308.506'
b'-0.50823974609375',b'-0.551513671875',b'-0.44256591796875',b'0.49151611328125',b'3.1416015625',b'414964',b'\x01\x01\x00\x02a',b'414737',b'946685308.607'
b'-0.5087890625',b'-0.55181884765625',b'-0.44183349609375',b'0.49139404296875',b'3.1416015625',b'415063',b'\x01\x01\x00\x02a',b'414737',b'946685308.206'
