blink_data,blink_tick_ms,epoch
117.0,410716.901,1581714173.969901
117.0,410716.902,1581714173.969902
117.0,410716.903,1581714173.969903
117.0,410716.904,1581714173.969904
117.0,410716.905,1581714173.969905
117.0,410716.906,1581714173.969906
117.0,410716.907,1581714173.969907
117.0,410716.908,1581714173.969908
117.0,410716.909,1581714173.969909
117.0,410716.91,1581714173.96991
117.0,410716.911,1581714173.969911
117.0,410716.912,1581714173.969912
117.0,410716.913,1581714173.969913
117.0,410716.914,1581714173.969914
117.0,410716.915,1581714173.969915
117.0,410716.916,1581714173.969916
117.0,410716.917,1581714173.969917
115.0,410716.918,1581714173.969918
115.0,410716.919,1581714173.969919
115.0,410716.92,1581714173.96992
115.0,410716.921,1581714173.969921
117.0,410716.922,1581714173.969922
117.0,410716.923,1581714173.969923
117.0,410716.924,1581714173.969924
118.0,410716.925,1581714173.969925
118.0,410716.926,1581714173.969926
118.0,410716.927,1581714173.969927
117.0,410716.928,1581714173.969928
117.0,410716.929,1581714173.969929
117.0,410716.93,1581714173.96993
117.0,410716.931,1581714173.969931
117.0,410716.932,1581714173.969932
117.0,410716.933,1581714173.969933
117.0,410716.934,1581714173.969934
117.0,410716.935,1581714173.969935
117.0,410716.936,1581714173.969936
117.0,410716.937,1581714173.969937
117.0,410716.938,1581714173.969938
117.0,410716.939,1581714173.969939
117.0,410716.94,1581714173.96994
117.0,410716.941,1581714173.969941
117.0,410716.942,1581714173.969942
117.0,410716.943,1581714173.969943
117.0,410716.944,1581714173.969944
117.0,410716.945,1581714173.969945
117.0,410716.946,1581714173.969946
117.0,410716.947,1581714173.969947
117.0,410716.948,1581714173.969948
117.0,410716.949,1581714173.969949
117.0,410716.95,1581714173.96995
116.0,410716.951,1581714173.969951
117.0,410716.952,1581714173.969952
117.0,410716.953,1581714173.969953
117.0,410716.954,1581714173.969954
113.0,410716.955,1581714173.969955
115.0,410716.956,1581714173.969956
115.0,410716.957,1581714173.969957
115.0,410716.958,1581714173.969958
117.0,410716.959,1581714173.969959
117.0,410716.96,1581714173.96996
117.0,410716.961,1581714173.969961
118.0,410716.962,1581714173.969962
118.0,410716.963,1581714173.969963
118.0,410716.964,1581714173.969964
117.0,410716.965,1581714173.969965
117.0,410716.966,1581714173.969966
117.0,410716.967,1581714173.969967
117.0,410716.968,1581714173.969968
117.0,410716.969,1581714173.969969
117.0,410716.97,1581714173.96997
117.0,410716.971,1581714173.969971
117.0,410716.972,1581714173.969972
117.0,410716.973,1581714173.969973
117.0,410716.974,1581714173.969974
117.0,410716.975,1581714173.969975
117.0,410716.976,1581714173.969976
117.0,410716.977,1581714173.969977
117.0,410716.978,1581714173.969978
117.0,410716.979,1581714173.969979
117.0,410716.98,1581714173.96998
117.0,410716.981,1581714173.969981
117.0,410716.982,1581714173.969982
117.0,410716.983,1581714173.969983
117.0,410716.984,1581714173.969984
117.0,410716.985,1581714173.969985
117.0,410716.986,1581714173.969986
116.0,410716.987,1581714173.969987
116.0,410716.988,1581714173.969988
116.0,410716.989,1581714173.969989
116.0,410716.99,1581714173.96999
117.0,410716.991,1581714173.969991
116.0,410716.992,1581714173.969992
115.0,410716.993,1581714173.969993
115.0,410716.994,1581714173.969994
115.0,410716.995,1581714173.969995
115.0,410716.996,1581714173.969996
117.0,410716.997,1581714173.969997
117.0,410716.998,1581714173.969998
117.0,410716.999,1581714173.969999
118.0,410717.0,1581714173.97
117.0,410817.901,1581714179.965901
117.0,410817.902,1581714179.965902
117.0,410817.903,1581714179.965903
117.0,410817.904,1581714179.965904
113.0,410817.905,1581714179.965905
115.0,410817.906,1581714179.965906
115.0,410817.907,1581714179.965907
115.0,410817.908,1581714179.965908
117.0,410817.909,1581714179.965909
117.0,410817.91,1581714179.96591
117.0,410817.911,1581714179.965911
118.0,410817.912,1581714179.965912
118.0,410817.913,1581714179.965913
118.0,410817.914,1581714179.965914
118.0,410817.915,1581714179.965915
117.0,410817.916,1581714179.965916
117.0,410817.917,1581714179.965917
117.0,410817.918,1581714179.965918
117.0,410817.919,1581714179.965919
117.0,410817.92,1581714179.96592
117.0,410817.921,1581714179.965921
117.0,410817.922,1581714179.965922
117.0,410817.923,1581714179.965923
117.0,410817.924,1581714179.965924
117.0,410817.925,1581714179.965925
117.0,410817.926,1581714179.965926
117.0,410817.927,1581714179.965927
117.0,410817.928,1581714179.965928
117.0,410817.929,1581714179.965929
117.0,410817.93,1581714179.96593
117.0,410817.931,1581714179.965931
117.0,410817.932,1581714179.965932
117.0,410817.933,1581714179.965933
117.0,410817.934,1581714179.965934
117.0,410817.935,1581714179.965935
117.0,410817.936,1581714179.965936
117.0,410817.937,1581714179.965937
117.0,410817.938,1581714179.965938
117.0,410817.939,1581714179.965939
117.0,410817.94,1581714179.96594
117.0,410817.941,1581714179.965941
117.0,410817.942,1581714179.965942
115.0,410817.943,1581714179.965943
115.0,410817.944,1581714179.965944
115.0,410817.945,1581714179.965945
115.0,410817.946,1581714179.965946
117.0,410817.947,1581714179.965947
117.0,410817.948,1581714179.965948
118.0,410817.949,1581714179.965949
118.0,410817.95,1581714179.96595
118.0,410817.951,1581714179.965951
