blink_data,blink_tick_ms,epoch
0.0,-0.099,1581541555.923901
0.0,-0.098,1581541555.923902
0.0,-0.097,1581541555.923903
0.0,-0.096,1581541555.923904
0.0,-0.095,1581541555.923905
0.0,-0.094,1581541555.923906
0.0,-0.093,1581541555.923907
0.0,-0.092,1581541555.923908
0.0,-0.091,1581541555.923909
0.0,-0.09,1581541555.92391
0.0,-0.089,1581541555.923911
0.0,-0.088,1581541555.923912
0.0,-0.08700000000000001,1581541555.923913
0.0,-0.08600000000000001,1581541555.923914
0.0,-0.085,1581541555.923915
0.0,-0.084,1581541555.923916
0.0,-0.083,1581541555.923917
0.0,-0.082,1581541555.923918
0.0,-0.081,1581541555.923919
0.0,-0.08,1581541555.92392
0.0,-0.079,1581541555.923921
0.0,-0.078,1581541555.923922
0.0,-0.077,1581541555.923923
0.0,-0.076,1581541555.923924
0.0,-0.075,1581541555.923925
0.0,-0.074,1581541555.923926
0.0,-0.073,1581541555.923927
0.0,-0.07200000000000001,1581541555.923928
0.0,-0.07100000000000001,1581541555.923929
0.0,-0.07,1581541555.92393
0.0,-0.069,1581541555.923931
0.0,-0.068,1581541555.923932
0.0,-0.067,1581541555.923933
0.0,-0.066,1581541555.923934
0.0,-0.065,1581541555.923935
0.0,-0.064,1581541555.923936
0.0,-0.063,1581541555.923937
0.0,-0.062,1581541555.923938
0.0,-0.061,1581541555.923939
0.0,-0.06,1581541555.92394
0.0,-0.059000000000000004,1581541555.923941
0.0,-0.058,1581541555.923942
0.0,-0.057,1581541555.923943
0.0,-0.056,1581541555.923944
0.0,-0.055,1581541555.923945
0.0,-0.054,1581541555.923946
0.0,-0.053,1581541555.923947
0.0,-0.052000000000000005,1581541555.923948
0.0,-0.051000000000000004,1581541555.923949
0.0,-0.05,1581541555.92395
0.0,-0.049,1581541555.923951
0.0,-0.048,1581541555.923952
0.0,-0.047,1581541555.923953
0.0,-0.046,1581541555.923954
0.0,-0.045,1581541555.923955
0.0,-0.044,1581541555.923956
0.0,-0.043000000000000003,1581541555.923957
0.0,-0.042,1581541555.923958
0.0,-0.041,1581541555.923959
0.0,-0.04,1581541555.92396
0.0,-0.039,1581541555.923961
0.0,-0.038,1581541555.923962
0.0,-0.037,1581541555.923963
0.0,-0.036000000000000004,1581541555.923964
