quatI,quatJ,quatK,quatReal,quatRadianAccuracy,rot_tick_ms,activityConfidence,tick_ms_activity,rot_epoch
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946684801.118'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946684801.118'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946684801.118'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946684801.118'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946684801.118'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946684801.618'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946684801.618'
b'-0.43231201171875',b'0.0079345703125',b'0.2005615234375',b'0.87908935546875',b'3.1416015625',b'9282',b'',b'0',b'946684810.9'
b'-0.46820068359375',b'0.02398681640625',b'0.19281005859375',b'0.86199951171875',b'3.1416015625',b'9382',b'',b'0',b'946684811.0'
b'-0.499755859375',b'0.050048828125',b'0.16204833984375',b'0.84942626953125',b'3.1416015625',b'9481',b'',b'0',b'946684811.099'
b'-0.55511474609375',b'0.06231689453125',b'0.08099365234375',b'0.82550048828125',b'3.1416015625',b'9581',b'',b'0',b'946684811.699'
b'-0.5601806640625',b'0.06671142578125',b'0.072998046875',b'0.82244873046875',b'3.1416015625',b'9681',b'',b'0',b'946684811.799'
b'-0.576904296875',b'0.02630615234375',b'0.039794921875',b'0.8154296875',b'3.1416015625',b'9781',b'',b'0',b'946684811.899'
b'-0.60693359375',b'-0.05645751953125',b'0.01171875',b'0.79266357421875',b'3.1416015625',b'9881',b'',b'0',b'946684811.999'
b'-0.59515380859375',b'-0.22674560546875',b'-0.0618896484375',b'0.76849365234375',b'3.1416015625',b'9980',b'[\x02\x00\x03\x04',b'10200',b'946684812.098'
b'-0.5396728515625',b'-0.36712646484375',b'-0.150390625',b'0.74249267578125',b'3.1416015625',b'10081',b'[\x02\x00\x03\x04',b'10200',b'946684811.699'
b'-0.48748779296875',b'-0.473388671875',b'-0.26177978515625',b'0.68536376953125',b'3.1416015625',b'10180',b'[\x02\x00\x03\x04',b'10200',b'946684811.798'
