quatI,quatJ,quatK,quatReal,quatRadianAccuracy,rot_tick_ms,activityConfidence,tick_ms_activity,rot_epoch
b'-0.64227294921875',b'0.4188232421875',b'0.4881591796875',b'0.41693115234375',b'0.2021484375',b'97345',b'(\t\x00\x06-',b'97312',b'97.345'
b'-0.634521484375',b'0.42926025390625',b'0.47186279296875',b'0.43646240234375',b'0.20361328125',b'97446',b'(\t\x00\x06-',b'97312',b'97.446'
b'-0.62677001953125',b'0.440185546875',b'0.470703125',b'0.43798828125',b'0.205078125',b'97545',b'(\t\x00\x06-',b'97312',b'97.545'
b'-0.636962890625',b'0.4202880859375',b'0.479248046875',b'0.43353271484375',b'0.20654296875',b'97645',b'(\t\x00\x06-',b'97312',b'97.645'
b'-0.63214111328125',b'0.423095703125',b'0.48052978515625',b'0.43646240234375',b'0.207763671875',b'97744',b'(\t\x00\x06-',b'97312',b'97.744'
b'-0.62890625',b'0.4290771484375',b'0.4749755859375',b'0.44134521484375',b'0.209228515625',b'97845',b'(\t\x00\x06-',b'97312',b'97.845'
b'-0.6297607421875',b'0.4248046875',b'0.4808349609375',b'0.43798828125',b'0.21044921875',b'97945',b'(\t\x00\x06-',b'97312',b'97.945'
b'-0.628662109375',b'0.42535400390625',b'0.47943115234375',b'0.44036865234375',b'0.211669921875',b'98044',b'>\t\x00\x05\x18',b'98291',b'98.044'
b'-0.62567138671875',b'0.42779541015625',b'0.48223876953125',b'0.4393310546875',b'0.212890625',b'98144',b'>\t\x00\x05\x18',b'98291',b'98.144'
b'-0.62640380859375',b'0.42376708984375',b'0.48370361328125',b'0.44049072265625',b'0.2041015625',b'98244',b'>\t\x00\x05\x18',b'98291',b'98.244'
b'-0.63262939453125',b'0.4132080078125',b'0.48956298828125',b'0.4351806640625',b'0.195068359375',b'98344',b'>\t\x00\x05\x18',b'98291',b'98.344'
b'-0.634521484375',b'0.41143798828125',b'0.49359130859375',b'0.42950439453125',b'0.196533203125',b'98443',b'>\t\x00\x05\x18',b'98291',b'98.443'
b'-0.635498046875',b'0.40966796875',b'0.49334716796875',b'0.4300537109375',b'0.189453125',b'98543',b'>\t\x00\x05\x18',b'98291',b'98.543'
b'-0.6357421875',b'0.40887451171875',b'0.494140625',b'0.42950439453125',b'0.18994140625',b'98644',b'>\t\x00\x05\x18',b'98291',b'98.644'
b'-0.6390380859375',b'0.40338134765625',b'0.49847412109375',b'0.4248046875',b'0.18310546875',b'98743',b'>\t\x00\x05\x18',b'98291',b'98.743'
b'-0.6390380859375',b'0.40380859375',b'0.49737548828125',b'0.4256591796875',b'0.1845703125',b'98842',b'>\t\x00\x05\x18',b'98291',b'98.842'
b'-0.64166259765625',b'0.39874267578125',b'0.5009765625',b'0.4222412109375',b'0.178955078125',b'98942',b'>\t\x00\x05\x18',b'98291',b'98.942'
