quatI,quatJ,quatK,quatReal,quatRadianAccuracy,rot_tick_ms,activityConfidence,tick_ms_activity,rot_epoch
b'0.6785888671875',b'0.73358154296875',b'0.0263671875',b'0.0263671875',b'3.1416015625',b'39334',b'\x01\x01\x00\x02a',b'38749',b'39.334'
b'0.6785888671875',b'0.73358154296875',b'0.0263671875',b'0.02642822265625',b'3.1416015625',b'39534',b'\x01\x01\x00\x02a',b'39727',b'39.534'
b'0.6785888671875',b'0.73358154296875',b'0.0263671875',b'0.02642822265625',b'3.1416015625',b'39634',b'\x01\x01\x00\x02a',b'39727',b'39.634'
b'0.6785888671875',b'0.73358154296875',b'0.02642822265625',b'0.02642822265625',b'3.1416015625',b'39733',b'\x01\x01\x00\x02a',b'39727',b'39.733'
b'0.6785888671875',b'0.73358154296875',b'0.02642822265625',b'0.0264892578125',b'3.1416015625',b'39833',b'\x01\x01\x00\x02a',b'39727',b'39.833'
b'0.6785888671875',b'0.73358154296875',b'0.02642822265625',b'0.02642822265625',b'3.1416015625',b'39933',b'\x01\x01\x00\x02a',b'39727',b'39.933'
b'0.6785888671875',b'0.73358154296875',b'0.02642822265625',b'0.02642822265625',b'3.1416015625',b'40033',b'\x01\x01\x00\x02a',b'39727',b'40.033'
b'0.6785888671875',b'0.73358154296875',b'0.02642822265625',b'0.02642822265625',b'3.1416015625',b'40133',b'\x01\x01\x00\x02a',b'39727',b'40.133'
b'0.6785888671875',b'0.73358154296875',b'0.02642822265625',b'0.0263671875',b'3.1416015625',b'40232',b'\x01\x01\x00\x02a',b'39727',b'40.232'
b'0.6785888671875',b'0.73358154296875',b'0.02642822265625',b'0.0263671875',b'3.1416015625',b'40332',b'\x01\x01\x00\x02a',b'39727',b'40.332'
b'0.6785888671875',b'0.73358154296875',b'0.02642822265625',b'0.02630615234375',b'3.1416015625',b'40432',b'\x01\x01\x00\x02a',b'39727',b'40.432'
b'0.6785888671875',b'0.73358154296875',b'0.02642822265625',b'0.02630615234375',b'3.1416015625',b'40532',b'\x01\x01\x00\x02a',b'40705',b'40.532'
b'0.6785888671875',b'0.73358154296875',b'0.0263671875',b'0.0263671875',b'3.1416015625',b'40632',b'\x01\x01\x00\x02a',b'40705',b'40.632'
b'0.6785888671875',b'0.73358154296875',b'0.02630615234375',b'0.02642822265625',b'3.1416015625',b'40731',b'\x01\x01\x00\x02a',b'40705',b'40.731'
b'0.6785888671875',b'0.73358154296875',b'0.02618408203125',b'0.0263671875',b'3.1416015625',b'40831',b'\x01\x01\x00\x02a',b'40705',b'40.831'
b'0.6785888671875',b'0.73358154296875',b'0.02618408203125',b'0.0263671875',b'3.1416015625',b'40932',b'\x01\x01\x00\x02a',b'40705',b'40.932'
b'0.67864990234375',b'0.7335205078125',b'0.02618408203125',b'0.0263671875',b'3.1416015625',b'41031',b'\x01\x01\x00\x02a',b'40705',b'41.031'
b'0.67864990234375',b'0.7335205078125',b'0.02618408203125',b'0.0263671875',b'3.1416015625',b'41131',b'\x01\x01\x00\x02a',b'40705',b'41.131'
b'0.67864990234375',b'0.7335205078125',b'0.0262451171875',b'0.0263671875',b'3.1416015625',b'41230',b'\x01\x01\x00\x02a',b'40705',b'41.23'
b'0.67864990234375',b'0.7335205078125',b'0.02630615234375',b'0.0263671875',b'3.1416015625',b'41331',b'\x01\x01\x00\x02a',b'40705',b'41.331'
b'0.67864990234375',b'0.7335205078125',b'0.02630615234375',b'0.02630615234375',b'3.1416015625',b'41431',b'\x01\x01\x00\x02a',b'41683',b'41.431'
b'0.67864990234375',b'0.7335205078125',b'0.02630615234375',b'0.02630615234375',b'3.1416015625',b'41530',b'\x01\x01\x00\x02a',b'41683',b'41.53'
b'0.67864990234375',b'0.7335205078125',b'0.0262451171875',b'0.0262451171875',b'3.1416015625',b'41630',b'\x01\x01\x00\x02a',b'41683',b'41.63'
b'0.67864990234375',b'0.7335205078125',b'0.0263671875',b'0.0262451171875',b'3.1416015625',b'41730',b'\x01\x01\x00\x02a',b'41683',b'41.73'
b'0.67864990234375',b'0.7335205078125',b'0.0264892578125',b'0.02630615234375',b'3.1416015625',b'41830',b'\x01\x01\x00\x02a',b'41683',b'41.83'
b'0.67864990234375',b'0.7335205078125',b'0.0264892578125',b'0.02630615234375',b'3.1416015625',b'41929',b'\x01\x01\x00\x02a',b'41683',b'41.929'
b'0.67864990234375',b'0.7335205078125',b'0.0264892578125',b'0.02630615234375',b'3.1416015625',b'42029',b'\x01\x01\x00\x02a',b'41683',b'42.029'
b'0.67864990234375',b'0.7335205078125',b'0.02642822265625',b'0.02630615234375',b'3.1416015625',b'42130',b'\x01\x01\x00\x02a',b'41683',b'42.13'
b'0.6785888671875',b'0.73358154296875',b'0.0264892578125',b'0.0263671875',b'3.1416015625',b'42229',b'\x01\x01\x00\x02a',b'41683',b'42.229'
b'0.6785888671875',b'0.73358154296875',b'0.02642822265625',b'0.0263671875',b'3.1416015625',b'42328',b'\x01\x01\x00\x02a',b'41683',b'42.328'
b'0.6785888671875',b'0.7335205078125',b'0.0264892578125',b'0.02642822265625',b'3.1416015625',b'42728',b'\x01\x01\x00\x02a',b'42671',b'42.728'
b'0.67864990234375',b'0.7335205078125',b'0.0264892578125',b'0.0264892578125',b'3.1416015625',b'42827',b'\x01\x01\x00\x02a',b'42671',b'42.827'
b'0.67864990234375',b'0.7335205078125',b'0.0264892578125',b'0.02642822265625',b'3.1416015625',b'42928',b'\x01\x01\x00\x02a',b'42671',b'42.928'
b'0.6787109375',b'0.73345947265625',b'0.0264892578125',b'0.02630615234375',b'3.1416015625',b'43127',b'\x01\x01\x00\x02a',b'42671',b'43.127'
b'0.67864990234375',b'0.73345947265625',b'0.02655029296875',b'0.02630615234375',b'3.1416015625',b'43227',b'\x01\x01\x00\x02a',b'42671',b'43.227'
b'0.67864990234375',b'0.73345947265625',b'0.0264892578125',b'0.0262451171875',b'3.1416015625',b'43328',b'\x01\x01\x00\x02a',b'42671',b'43.328'
b'0.67864990234375',b'0.7335205078125',b'0.0264892578125',b'0.0262451171875',b'3.1416015625',b'43427',b'\x01\x01\x00\x02a',b'43650',b'43.427'
b'0.67864990234375',b'0.7335205078125',b'0.0264892578125',b'0.0262451171875',b'3.1416015625',b'43526',b'\x01\x01\x00\x02a',b'43650',b'43.526'
b'0.67864990234375',b'0.7335205078125',b'0.02642822265625',b'0.02618408203125',b'3.1416015625',b'43727',b'\x01\x01\x00\x02a',b'43650',b'43.727'
b'0.67864990234375',b'0.7335205078125',b'0.0263671875',b'0.02618408203125',b'3.1416015625',b'43826',b'\x01\x01\x00\x02a',b'43650',b'43.826'
b'0.67864990234375',b'0.7335205078125',b'0.0263671875',b'0.0262451171875',b'3.1416015625',b'43926',b'\x01\x01\x00\x02a',b'43650',b'43.926'
b'0.6785888671875',b'0.73358154296875',b'0.0264892578125',b'0.0263671875',b'3.1416015625',b'44225',b'\x01\x01\x00\x02a',b'43650',b'44.225'
b'0.67864990234375',b'0.7335205078125',b'0.0264892578125',b'0.02630615234375',b'3.1416015625',b'44325',b'\x01\x01\x00\x02a',b'43650',b'44.325'
b'0.67864990234375',b'0.7335205078125',b'0.0264892578125',b'0.02630615234375',b'3.1416015625',b'44425',b'\x01\x01\x00\x02a',b'43650',b'44.425'
b'-0.0081787109375',b'0.00048828125',b'-0.0001220703125',b'0.99993896484375',b'3.1416015625',b'44609',b'\x01\x01\x00\x02a',b'43650',b'44.609'
b'-0.00811767578125',b'0.0006103515625',b'-0.0001220703125',b'0.99993896484375',b'3.1416015625',b'44709',b'\x01\x01\x00\x02a',b'43650',b'44.709'
b'-0.00799560546875',b'0.00054931640625',b'-0.0001220703125',b'0.99993896484375',b'3.1416015625',b'44809',b'\x01\x01\x00\x02a',b'43650',b'44.809'
b'-0.0079345703125',b'0.00048828125',b'-0.0001220703125',b'0.99993896484375',b'3.1416015625',b'44908',b'\x01\x01\x00\x02a',b'43650',b'44.908'
b'-0.00787353515625',b'0.00054931640625',b'-0.0001220703125',b'0.99993896484375',b'3.1416015625',b'45008',b'\x01\x01\x00\x02a',b'43650',b'45.008'
b'-0.00787353515625',b'0.00048828125',b'-0.0001220703125',b'0.99993896484375',b'3.1416015625',b'45109',b'\x01\x02\x00\x02_',b'45312',b'45.109'
b'-0.0078125',b'0.00042724609375',b'-0.0001220703125',b'0.99993896484375',b'3.1416015625',b'45208',b'\x01\x02\x00\x02_',b'45312',b'45.208'
b'-0.0078125',b'0.0003662109375',b'-0.0001220703125',b'1.0',b'3.1416015625',b'45308',b'\x01\x02\x00\x02_',b'45312',b'45.308'
b'-0.00775146484375',b'0.00042724609375',b'-0.0001220703125',b'1.0',b'3.1416015625',b'45407',b'\x01\x02\x00\x02_',b'45312',b'45.407'
b'-0.0076904296875',b'0.00042724609375',b'-0.0001220703125',b'1.0',b'3.1416015625',b'45508',b'\x01\x02\x00\x02_',b'45312',b'45.508'
b'-0.00762939453125',b'0.00042724609375',b'-0.0001220703125',b'1.0',b'3.1416015625',b'45607',b'\x01\x02\x00\x02_',b'45312',b'45.607'
b'-0.00762939453125',b'0.00048828125',b'-0.0001220703125',b'1.0',b'3.1416015625',b'45707',b'\x01\x02\x00\x02_',b'45312',b'45.707'
b'-0.007568359375',b'0.00042724609375',b'-0.0001220703125',b'1.0',b'3.1416015625',b'45807',b'\x01\x02\x00\x02_',b'45312',b'45.807'
b'-0.007568359375',b'0.0003662109375',b'-6.103515625e-05',b'1.0',b'3.1416015625',b'46007',b'\x01\x02\x00\x02_',b'45312',b'46.007'
b'-0.00750732421875',b'0.00042724609375',b'-0.00018310546875',b'1.0',b'3.1416015625',b'46206',b'\x01\x01\x00\x02`',b'46300',b'46.206'
b'-0.007568359375',b'0.0003662109375',b'-0.0001220703125',b'1.0',b'3.1416015625',b'46307',b'\x01\x01\x00\x02`',b'46300',b'46.307'
b'-0.007568359375',b'0.0003662109375',b'-0.0001220703125',b'1.0',b'3.1416015625',b'46406',b'\x01\x01\x00\x02`',b'46300',b'46.406'
b'-0.00750732421875',b'0.0003662109375',b'-6.103515625e-05',b'1.0',b'3.1416015625',b'46505',b'\x01\x01\x00\x02`',b'46300',b'46.505'
b'-0.00750732421875',b'0.00030517578125',b'-0.0001220703125',b'1.0',b'3.1416015625',b'46605',b'\x01\x01\x00\x02`',b'46300',b'46.605'
b'-0.00750732421875',b'0.00030517578125',b'-0.0001220703125',b'1.0',b'3.1416015625',b'46706',b'\x01\x01\x00\x02`',b'46300',b'46.706'
b'-0.00750732421875',b'0.0003662109375',b'-0.0001220703125',b'1.0',b'3.1416015625',b'46805',b'\x01\x01\x00\x02`',b'46300',b'46.805'
b'-0.00750732421875',b'0.00030517578125',b'-0.0001220703125',b'1.0',b'3.1416015625',b'46905',b'\x01\x01\x00\x02`',b'46300',b'46.905'
b'-0.00750732421875',b'0.000244140625',b'-0.0001220703125',b'1.0',b'3.1416015625',b'47005',b'\x01\x01\x00\x02`',b'46300',b'47.005'
b'-0.00750732421875',b'0.00018310546875',b'-0.0001220703125',b'1.0',b'3.1416015625',b'47105',b'\x01\x01\x00\x02`',b'47278',b'47.105'
