blink_data,blink_tick_ms,epoch
53.0,1064798.901,1582415771.005901
53.0,1064798.902,1582415771.005902
53.0,1064798.903,1582415771.005903
53.0,1064798.904,1582415771.005904
52.0,1064798.905,1582415771.005905
52.0,1064798.906,1582415771.005906
52.0,1064798.907,1582415771.005907
52.0,1064798.908,1582415771.005908
52.0,1064798.909,1582415771.005909
52.0,1064798.91,1582415771.00591
52.0,1064798.911,1582415771.005911
52.0,1064798.912,1582415771.005912
52.0,1064798.913,1582415771.005913
52.0,1064798.914,1582415771.005914
52.0,1064798.915,1582415771.005915
52.0,1064798.916,1582415771.005916
52.0,1064798.917,1582415771.005917
52.0,1064798.918,1582415771.005918
52.0,1064798.919,1582415771.005919
52.0,1064798.92,1582415771.00592
52.0,1064798.921,1582415771.005921
52.0,1064798.922,1582415771.005922
52.0,1064798.923,1582415771.005923
52.0,1064798.924,1582415771.005924
52.0,1064798.925,1582415771.005925
52.0,1064798.926,1582415771.005926
52.0,1064798.927,1582415771.005927
52.0,1064798.928,1582415771.005928
55.0,1064798.929,1582415771.005929
54.0,1064798.93,1582415771.00593
53.0,1064798.931,1582415771.005931
53.0,1064798.932,1582415771.005932
53.0,1064798.933,1582415771.005933
53.0,1064798.934,1582415771.005934
53.0,1064798.935,1582415771.005935
53.0,1064798.936,1582415771.005936
53.0,1064798.937,1582415771.005937
53.0,1064798.938,1582415771.005938
53.0,1064798.939,1582415771.005939
53.0,1064798.94,1582415771.00594
53.0,1064798.941,1582415771.005941
53.0,1064798.942,1582415771.005942
53.0,1064798.943,1582415771.005943
53.0,1064798.944,1582415771.005944
53.0,1064798.945,1582415771.005945
53.0,1064798.946,1582415771.005946
53.0,1064798.947,1582415771.005947
54.0,1064798.948,1582415771.005948
53.0,1064798.949,1582415771.005949
53.0,1064798.95,1582415771.00595
53.0,1064798.951,1582415771.005951
53.0,1064798.952,1582415771.005952
53.0,1064798.953,1582415771.005953
53.0,1064798.954,1582415771.005954
53.0,1064798.955,1582415771.005955
53.0,1064798.956,1582415771.005956
53.0,1064798.957,1582415771.005957
53.0,1064798.958,1582415771.005958
53.0,1064798.959,1582415771.005959
53.0,1064798.96,1582415771.00596
53.0,1064798.961,1582415771.005961
53.0,1064798.962,1582415771.005962
53.0,1064798.963,1582415771.005963
53.0,1064798.964,1582415771.005964
53.0,1064798.965,1582415771.005965
53.0,1064798.966,1582415771.005966
53.0,1064798.967,1582415771.005967
53.0,1064798.968,1582415771.005968
53.0,1064798.969,1582415771.005969
53.0,1064798.97,1582415771.00597
53.0,1064798.971,1582415771.005971
53.0,1064798.972,1582415771.005972
53.0,1064798.973,1582415771.005973
53.0,1064798.974,1582415771.005974
53.0,1064798.975,1582415771.005975
53.0,1064798.976,1582415771.005976
53.0,1064798.977,1582415771.005977
53.0,1064798.978,1582415771.005978
53.0,1064798.979,1582415771.005979
53.0,1064798.98,1582415771.00598
53.0,1064798.981,1582415771.005981
53.0,1064798.982,1582415771.005982
53.0,1064798.983,1582415771.005983
53.0,1064798.984,1582415771.005984
53.0,1064798.985,1582415771.005985
53.0,1064798.986,1582415771.005986
53.0,1064798.987,1582415771.005987
53.0,1064798.988,1582415771.005988
53.0,1064798.989,1582415771.005989
53.0,1064798.99,1582415771.00599
53.0,1064798.991,1582415771.005991
53.0,1064798.992,1582415771.005992
53.0,1064798.993,1582415771.005993
53.0,1064798.994,1582415771.005994
53.0,1064798.995,1582415771.005995
53.0,1064798.996,1582415771.005996
53.0,1064798.997,1582415771.005997
53.0,1064798.998,1582415771.005998
53.0,1064798.999,1582415771.005999
53.0,1064799.0,1582415771.006
53.0,1064898.901,1582415771.006901
53.0,1064898.902,1582415771.006902
53.0,1064898.903,1582415771.006903
53.0,1064898.904,1582415771.006904
52.0,1064898.905,1582415771.006905
52.0,1064898.906,1582415771.006906
52.0,1064898.907,1582415771.006907
52.0,1064898.908,1582415771.006908
52.0,1064898.909,1582415771.006909
53.0,1064898.91,1582415771.00691
53.0,1064898.911,1582415771.006911
53.0,1064898.912,1582415771.006912
53.0,1064898.913,1582415771.006913
53.0,1064898.914,1582415771.006914
53.0,1064898.915,1582415771.006915
53.0,1064898.916,1582415771.006916
