quatI,quatJ,quatK,quatReal,quatRadianAccuracy,rot_tick_ms,activityConfidence,tick_ms_activity,rot_epoch
b'0.89642333984375',b'-0.44171142578125',b'-0.01617431640625',b'0.03363037109375',b'3.1416015625',b'1228651',b'\x01\x01\x00\x02a',b'1228875',b'1228.651'
b'0.89642333984375',b'-0.44171142578125',b'-0.01617431640625',b'0.03363037109375',b'3.1416015625',b'1228751',b'\x01\x01\x00\x02a',b'1228875',b'1228.751'
b'0.89642333984375',b'-0.441650390625',b'-0.01617431640625',b'0.03369140625',b'3.1416015625',b'1228851',b'\x01\x01\x00\x02a',b'1228875',b'1228.851'
b'0.89642333984375',b'-0.441650390625',b'-0.01611328125',b'0.03363037109375',b'3.1416015625',b'1229050',b'\x01\x01\x00\x02a',b'1228875',b'1229.05'
b'0.89642333984375',b'-0.441650390625',b'-0.01605224609375',b'0.03363037109375',b'3.1416015625',b'1229150',b'\x01\x01\x00\x02a',b'1228875',b'1229.15'
b'0.89642333984375',b'-0.441650390625',b'-0.0159912109375',b'0.03363037109375',b'3.1416015625',b'1229250',b'\x01\x01\x00\x02a',b'1228875',b'1229.25'
b'0.8963623046875',b'-0.44171142578125',b'-0.01605224609375',b'0.03363037109375',b'3.1416015625',b'1229350',b'\x01\x01\x00\x02a',b'1228875',b'1229.35'
b'0.8963623046875',b'-0.44171142578125',b'-0.0159912109375',b'0.03369140625',b'3.1416015625',b'1229450',b'\x01\x01\x00\x02a',b'1228875',b'1229.45'
b'0.8963623046875',b'-0.44171142578125',b'-0.0159912109375',b'0.03369140625',b'3.1416015625',b'1229549',b'\x01\x01\x00\x02a',b'1228875',b'1229.549'
b'0.8963623046875',b'-0.44171142578125',b'-0.0159912109375',b'0.03363037109375',b'3.1416015625',b'1229649',b'\x01\x01\x00\x02a',b'1229854',b'1229.649'
b'0.8963623046875',b'-0.44171142578125',b'-0.01605224609375',b'0.03369140625',b'3.1416015625',b'1229749',b'\x01\x01\x00\x02a',b'1229854',b'1229.749'
b'0.8963623046875',b'-0.44171142578125',b'-0.01605224609375',b'0.03369140625',b'3.1416015625',b'1229849',b'\x01\x01\x00\x02a',b'1229854',b'1229.849'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'0.0'
b'0.8963623046875',b'-0.4417724609375',b'-0.01605224609375',b'0.03363037109375',b'3.1416015625',b'1229949',b'\x01\x01\x00\x02a',b'1229854',b'1229.949'
b'0.8963623046875',b'-0.4417724609375',b'-0.01605224609375',b'0.03363037109375',b'3.1416015625',b'1230049',b'\x01\x01\x00\x02a',b'1229854',b'1230.049'
b'0.8963623046875',b'-0.4417724609375',b'-0.01611328125',b'0.0335693359375',b'3.1416015625',b'1230149',b'\x01\x01\x00\x02a',b'1229854',b'1230.149'
b'0.8963623046875',b'-0.4417724609375',b'-0.01611328125',b'0.0335693359375',b'3.1416015625',b'1230248',b'\x01\x01\x00\x02a',b'1229854',b'1230.248'
b'0.8963623046875',b'-0.4417724609375',b'-0.0159912109375',b'0.03350830078125',b'3.1416015625',b'1230348',b'\x01\x01\x00\x02a',b'1229854',b'1230.348'
b'0.8963623046875',b'-0.4417724609375',b'-0.0159912109375',b'0.03350830078125',b'3.1416015625',b'1230448',b'\x01\x01\x00\x02a',b'1229854',b'1230.448'
b'0.8963623046875',b'-0.4417724609375',b'-0.015869140625',b'0.033447265625',b'3.1416015625',b'1230548',b'\x01\x01\x00\x02a',b'1229854',b'1230.548'
b'0.8963623046875',b'-0.4417724609375',b'-0.015869140625',b'0.03350830078125',b'3.1416015625',b'1230647',b'\x01\x01\x00\x02a',b'1230833',b'1230.647'
b'0.8963623046875',b'-0.4417724609375',b'-0.01580810546875',b'0.033447265625',b'3.1416015625',b'1230747',b'\x01\x01\x00\x02a',b'1230833',b'1230.747'
b'0.8963623046875',b'-0.4417724609375',b'-0.01580810546875',b'0.033447265625',b'3.1416015625',b'1230847',b'\x01\x01\x00\x02a',b'1230833',b'1230.847'
b'0.8963623046875',b'-0.4417724609375',b'-0.0157470703125',b'0.033447265625',b'3.1416015625',b'1230947',b'\x01\x01\x00\x02a',b'1230833',b'1230.947'
b'0.8963623046875',b'-0.4417724609375',b'-0.015625',b'0.033447265625',b'3.1416015625',b'1231047',b'\x01\x01\x00\x02a',b'1230833',b'1231.047'
b'0.8963623046875',b'-0.4417724609375',b'-0.01568603515625',b'0.03350830078125',b'3.1416015625',b'1231147',b'\x01\x01\x00\x02a',b'1230833',b'1231.147'
b'0.8963623046875',b'-0.4417724609375',b'-0.01568603515625',b'0.03350830078125',b'3.1416015625',b'1231247',b'\x01\x01\x00\x02a',b'1230833',b'1231.247'
b'0.8963623046875',b'-0.4417724609375',b'-0.01568603515625',b'0.03350830078125',b'3.1416015625',b'1231346',b'\x01\x01\x00\x02a',b'1230833',b'1231.346'
b'0.8963623046875',b'-0.4417724609375',b'-0.01580810546875',b'0.0335693359375',b'3.1416015625',b'1231446',b'\x01\x01\x00\x02a',b'1230833',b'1231.446'
b'0.8963623046875',b'-0.4417724609375',b'-0.01593017578125',b'0.03363037109375',b'3.1416015625',b'1231546',b'\x01\x01\x00\x02a',b'1231811',b'1231.546'
b'0.8963623046875',b'-0.4417724609375',b'-0.01593017578125',b'0.03369140625',b'3.1416015625',b'1231646',b'\x01\x01\x00\x02a',b'1231811',b'1231.646'
b'0.89630126953125',b'-0.44183349609375',b'-0.0159912109375',b'0.03375244140625',b'3.1416015625',b'1231746',b'\x01\x01\x00\x02a',b'1231811',b'1231.746'
b'0.89630126953125',b'-0.44183349609375',b'-0.0159912109375',b'0.03369140625',b'3.1416015625',b'1231845',b'\x01\x01\x00\x02a',b'1231811',b'1231.845'
b'0.89630126953125',b'-0.44183349609375',b'-0.01593017578125',b'0.03369140625',b'3.1416015625',b'1231945',b'\x01\x01\x00\x02a',b'1231811',b'1231.945'
b'0.89630126953125',b'-0.44183349609375',b'-0.01593017578125',b'0.03369140625',b'3.1416015625',b'1232045',b'\x01\x01\x00\x02a',b'1231811',b'1232.045'
b'0.89630126953125',b'-0.44183349609375',b'-0.0159912109375',b'0.03375244140625',b'3.1416015625',b'1232145',b'\x01\x01\x00\x02a',b'1231811',b'1232.145'
b'0.89630126953125',b'-0.44183349609375',b'-0.0159912109375',b'0.03369140625',b'3.1416015625',b'1232344',b'\x01\x01\x00\x02a',b'1231811',b'1232.344'
b'0.89630126953125',b'-0.44183349609375',b'-0.01593017578125',b'0.03363037109375',b'3.1416015625',b'1232445',b'\x01\x01\x00\x02a',b'1231811',b'1232.445'
b'0.8963623046875',b'-0.4417724609375',b'-0.01593017578125',b'0.0335693359375',b'3.1416015625',b'1232544',b'\x01\x01\x00\x02a',b'1231811',b'1232.544'
b'0.8963623046875',b'-0.4417724609375',b'-0.01593017578125',b'0.03363037109375',b'3.1416015625',b'1232644',b'\x01\x01\x00\x02a',b'1232790',b'1232.644'
b'0.8963623046875',b'-0.4417724609375',b'-0.01593017578125',b'0.03369140625',b'3.1416015625',b'1232743',b'\x01\x01\x00\x02a',b'1232790',b'1232.743'
b'0.8963623046875',b'-0.4417724609375',b'-0.015869140625',b'0.03369140625',b'3.1416015625',b'1232844',b'\x01\x01\x00\x02a',b'1232790',b'1232.844'
