quatI,quatJ,quatK,quatReal,quatRadianAccuracy,rot_tick_ms,activityConfidence,tick_ms_activity,rot_epoch
b'4.656612873077393e-10',b'-1.8295670967810596e-12',b'9.918329975599818e-32',b'2.0116586685180664',b'-2.0037612915039062',b'4027203129',b'L\x00\x01\x01\x00\x02a',b'4000579584',b'4027203.129'
b'4.656612873077393e-10',b'-4.683691767759512e-10',b'9.918329975599818e-32',b'1.0905223493532924e-19',b'-2.0037612915039062',b'4040244796',b'L\x00\x01\x01\x00\x02a',b'4000579584',b'4040244.796'
b'4.656612873077393e-10',b'-4.683691767759512e-10',b'9.918329975599818e-32',b'6.852349490548355e-41',b'2.0037612915039062',b'4053351991',b'L\x00\x01\x01\x00\x02a',b'4064673792',b'4053351.991'
b'4.656612873077393e-10',b'-1.8295670967810596e-12',b'9.918329975599818e-32',b'1.0905223493532924e-19',b'-2.2106884573188314e-41',b'4059905592',b'L\x00\x01\x01\x00\x02a',b'4064673792',b'4059905.592'
b'7.105427357601002e-15',b'-4.683691767759512e-10',b'9.918329975599818e-32',b'1.0905223493532924e-19',b'-2.2106884573188314e-41',b'4072947259',b'L\x00\x01\x01\x00\x02a',b'4064673792',b'4072947.259'
b'7.105427357601002e-15',b'-4.683691767759512e-10',b'3.874347646718679e-34',b'1.0905223493532924e-19',b'-2.0037612915039062',b'4079500860',b'L\x00\x01\x01\x00\x02a',b'4064673792',b'4079500.86'
b'7.105427357601002e-15',b'-1.1990250925464352e-07',b'1.513417049499484e-36',b'6.852349490548355e-41',b'2.2106884573188314e-41',b'4099096129',b'L\x00\x01\x01\x00\x02a',b'4064673792',b'4099096.129'
b'1.6543612251060553e-24',b'-3.069504236918874e-05',b'6.862719099184359e-41',b'1.0905223493532924e-19',b'-2.0037612915039062',b'4112203323',b'L\x00\x01\x01\x00\x02a',b'4128833536',b'4112203.323'
b'7.105427357601002e-15',b'-3.069504236918874e-05',b'-2.673976471693726e+36',b'2.0116584300994873',b'-2.2106884573188314e-41',b'4125310526',b'L\x00\x01\x01\x00\x02a',b'4128833536',b'4125310.526'
b'7.105427357601002e-15',b'-0.007857930846512318',b'-1.0445220592553617e+34',b'2.0116584300994873',b'2.0037612915039062',b'4138352193',b'L\x00\x01\x01\x00\x02a',b'4128833536',b'4138352.193'
b'7.105427357601002e-15',b'-0.007857930846512318',b'-4.080164293966257e+31',b'2.0116584300994873',b'2.2106884573188314e-41',b'4151459396',b'L\x00\x01\x01\x00\x02a',b'4128833536',b'4151459.396'
b'7.105427357601002e-15',b'-2.0116302967071533',b'-1.593814177330569e+29',b'3.710854822376558e+19',b'-2.0037612915039062',b'4164501062',b'L\x00\x01\x01\x00\x02a',b'4128833536',b'4164501.062'
b'7.105427357601002e-15',b'-0.007857930846512318',b'-4.080164293966257e+31',b'-6.852209360701923e-41',b'-2.2106884573188314e-41',b'4177608265',b'L\x00\x01\x01\x00\x02a',b'4192993280',b'4177608.265'
b'7.105427357601002e-15',b'-0.007857930846512318',b'-4.080164293966257e+31',b'3.710854822376558e+19',b'2.0037612915039062',b'4197203533',b'L\x00\x01\x01\x00\x02a',b'4192993280',b'4197203.533'
b'7.105427357601002e-15',b'-3.069504236918874e-05',b'-1.0445220592553617e+34',b'-6.852209360701923e-41',b'2.0037612915039062',b'4216798801',b'L\x00\x01\x01\x00\x02a',b'4192993280',b'4216798.801'
b'4.656612873077393e-10',b'-3.069504236918874e-05',b'-1.0445220592553617e+34',b'-6.852209360701923e-41',b'-2.0037612915039062',b'4229971539',b'L\x00\x01\x01\x00\x02a',b'4192993280',b'4229971.539'
b'4.656612873077393e-10',b'-3.069504236918874e-05',b'-1.0445220592553617e+34',b'-1.0905222201063217e-19',b'-2.2106884573188314e-41',b'4249501271',b'L\x00\x01\x01\x00\x02a',b'4257153024',b'4249501.271'
b'4.656612873077393e-10',b'-3.069504236918874e-05',b'-2.673976471693726e+36',b'-1.0905222201063217e-19',b'-2.0037612915039062',b'4262608473',b'L\x00\x01\x01\x00\x02a',b'4257153024',b'4262608.473'
b'4.656612873077393e-10',b'-1.1990250925464352e-07',b'-2.673976471693726e+36',b'-6.852209360701923e-41',b'2.2106884573188314e-41',b'4269162075',b'L\x00\x01\x01\x00\x02a',b'4257153024',b'4269162.075'
b'3.0517578125e-05',b'-1.1990250925464352e-07',b'6.862719099184359e-41',b'3.710855262181209e+19',b'2.0037612915039062',b'4275715666',b'L\x00\x01\x01\x00\x02a',b'4257153024',b'4275715.666'
b'4.656612873077393e-10',b'-1.8295670967810596e-12',b'9.918329975599818e-32',b'-6.852349490548355e-41',b'2.2106884573188314e-41',b'343627',b'M\x00\x01\x01\x00\x02a',b'4257153024',b'343.627'
b'4.656612873077393e-10',b'-1.8295670967810596e-12',b'9.918329975599818e-32',b'3.710855262181209e+19',b'-2.2106884573188314e-41',b'6897227',b'M\x00\x01\x01\x00\x02a',b'4257153024',b'6897.227'
b'4.656612873077393e-10',b'-1.8295670967810596e-12',b'9.918329975599818e-32',b'-6.852349490548355e-41',b'-2.0037612915039062',b'13450828',b'M\x00\x01\x01\x00\x02a',b'26279936',b'13450.828'
b'7.105427357601002e-15',b'-1.8295670967810596e-12',b'9.918329975599818e-32',b'-6.852349490548355e-41',b'-2.2106884573188314e-41',b'26492478',b'M\x00\x01\x01\x00\x02a',b'26279936',b'26492.478'
b'1.0842021724855044e-19',b'-1.8295670967810596e-12',b'2.5390924737535535e-29',b'-6.852349490548355e-41',b'-2.2106884573188314e-41',b'33046072',b'M\x00\x01\x01\x00\x02a',b'26279936',b'33046.072'
b'1.0842021724855044e-19',b'-1.8295670967810596e-12',b'2.5390924737535535e-29',b'-6.852349490548355e-41',b'-2.0037612915039062',b'39599666',b'M\x00\x01\x01\x00\x02a',b'26279936',b'39599.666'
b'1.6543612251060553e-24',b'-4.683691767759512e-10',b'2.5390924737535535e-29',b'-6.852349490548355e-41',b'-2.0037612915039062',b'46153260',b'M\x00\x01\x01\x00\x02a',b'26279936',b'46153.26'
b'1.6543612251060553e-24',b'-4.683691767759512e-10',b'2.5390924737535535e-29',b'3.710855262181209e+19',b'-2.2106884573188314e-41',b'52706855',b'M\x00\x01\x01\x00\x02a',b'26279936',b'52706.855'
b'1.6543612251060553e-24',b'-4.683691767759512e-10',b'9.918329975599818e-32',b'3.710855262181209e+19',b'-2.2106884573188314e-41',b'59260456',b'M\x00\x01\x01\x00\x02a',b'26279936',b'59260.456'
b'1.0842021724855044e-19',b'-4.683691767759512e-10',b'9.918329975599818e-32',b'-6.852349490548355e-41',b'2.0037612915039062',b'72302118',b'M\x00\x01\x01\x00\x02a',b'26279936',b'72302.118'
b'1.0842021724855044e-19',b'-4.683691767759512e-10',b'9.918329975599818e-32',b'-1.0905223493532924e-19',b'-2.0037612915039062',b'78855719',b'M\x00\x01\x01\x00\x02a',b'91029504',b'78855.719'
b'1.0842021724855044e-19',b'-4.683691767759512e-10',b'3.874347646718679e-34',b'-1.0905223493532924e-19',b'2.0037612915039062',b'85409321',b'M\x00\x01\x01\x00\x02a',b'91029504',b'85409.321'
b'1.6543612251060553e-24',b'-1.1990250925464352e-07',b'1.513417049499484e-36',b'-2.0116586685180664',b'2.2106884573188314e-41',b'105004585',b'M\x00\x01\x01\x00\x02a',b'91029504',b'105004.585'
b'2.524354896707238e-29',b'-1.1990250925464352e-07',b'1.513417049499484e-36',b'-2.0116586685180664',b'-2.2106884573188314e-41',b'118111787',b'M\x00\x01\x01\x00\x02a',b'91029504',b'118111.787'
b'2.524354896707238e-29',b'-3.069504236918874e-05',b'1.513417049499484e-36',b'-2.0116586685180664',b'2.2106884573188314e-41',b'124599853',b'M\x00\x01\x01\x00\x02a',b'91029504',b'124599.853'
b'3.851859888774472e-34',b'-3.069504236918874e-05',b'1.513417049499484e-36',b'-2.0116586685180664',b'2.0037612915039062',b'137707056',b'M\x00\x01\x01\x00\x02a',b'155189248',b'137707.056'
b'3.851859888774472e-34',b'-0.007857930846512318',b'6.862719099184359e-41',b'-2.0116586685180664',b'2.0037612915039062',b'150814259',b'M\x00\x01\x01\x00\x02a',b'155189248',b'150814.259'
b'2.524354896707238e-29',b'-0.007857930846512318',b'-2.673976471693726e+36',b'-2.0116584300994873',b'-2.2106884573188314e-41',b'170409527',b'M\x00\x01\x01\x00\x02a',b'155189248',b'170409.527'
b'2.524354896707238e-29',b'-0.007857930846512318',b'-1.0445220592553617e+34',b'-1.0905222201063217e-19',b'2.2106884573188314e-41',b'176963129',b'M\x00\x01\x01\x00\x02a',b'155189248',b'176963.129'
b'2.524354896707238e-29',b'-2.0116302967071533',b'-1.0445220592553617e+34',b'-1.0905222201063217e-19',b'-2.2106884573188314e-41',b'183516730',b'M\x00\x01\x01\x00\x02a',b'155189248',b'183516.73'
b'3.851859888774472e-34',b'-2.0116302967071533',b'-1.0445220592553617e+34',b'-2.0116584300994873',b'2.2106884573188314e-41',b'196558389',b'M\x00\x01\x01\x00\x02a',b'155189248',b'196558.389'
b'1.6543612251060553e-24',b'-0.007857930846512318',b'-1.0445220592553617e+34',b'-1.0905222201063217e-19',b'2.0037612915039062',b'203111983',b'M\x00\x01\x01\x00\x02a',b'155189248',b'203111.983'
b'1.6543612251060553e-24',b'-0.007857930846512318',b'-2.673976471693726e+36',b'-1.0905222201063217e-19',b'2.2106884573188314e-41',b'222707245',b'M\x00\x01\x01\x00\x02a',b'219348992',b'222707.245'
b'1.0842021724855044e-19',b'-0.007857930846512318',b'-2.673976471693726e+36',b'-6.852209360701923e-41',b'2.2106884573188314e-41',b'235879977',b'M\x00\x01\x01\x00\x02a',b'219348992',b'235879.977'
