blink_data,blink_tick_ms,epoch
0.0,-0.099,1581637230.551901
0.0,-0.098,1581637230.551902
0.0,-0.097,1581637230.551903
0.0,-0.096,1581637230.551904
0.0,-0.095,1581637230.551905
0.0,-0.094,1581637230.551906
0.0,-0.093,1581637230.551907
0.0,-0.092,1581637230.551908
0.0,-0.091,1581637230.551909
0.0,-0.09,1581637230.55191
0.0,-0.089,1581637230.551911
0.0,-0.088,1581637230.551912
0.0,-0.08700000000000001,1581637230.551913
0.0,-0.08600000000000001,1581637230.551914
0.0,-0.085,1581637230.551915
0.0,-0.084,1581637230.551916
0.0,-0.083,1581637230.551917
0.0,-0.082,1581637230.551918
0.0,-0.081,1581637230.551919
0.0,-0.08,1581637230.55192
0.0,-0.079,1581637230.551921
0.0,-0.078,1581637230.551922
0.0,-0.077,1581637230.551923
0.0,-0.076,1581637230.551924
0.0,-0.075,1581637230.551925
0.0,-0.074,1581637230.551926
0.0,-0.073,1581637230.551927
0.0,-0.07200000000000001,1581637230.551928
0.0,-0.07100000000000001,1581637230.551929
0.0,-0.07,1581637230.55193
0.0,-0.069,1581637230.551931
0.0,-0.068,1581637230.551932
0.0,-0.067,1581637230.551933
0.0,-0.066,1581637230.551934
0.0,-0.065,1581637230.551935
0.0,-0.064,1581637230.551936
0.0,-0.063,1581637230.551937
0.0,-0.062,1581637230.551938
0.0,-0.061,1581637230.551939
0.0,-0.06,1581637230.55194
0.0,-0.059000000000000004,1581637230.551941
0.0,-0.058,1581637230.551942
0.0,-0.057,1581637230.551943
0.0,-0.056,1581637230.551944
0.0,-0.055,1581637230.551945
0.0,-0.054,1581637230.551946
0.0,-0.053,1581637230.551947
0.0,-0.052000000000000005,1581637230.551948
0.0,-0.051000000000000004,1581637230.551949
0.0,-0.05,1581637230.55195
0.0,-0.049,1581637230.551951
0.0,-0.048,1581637230.551952
0.0,-0.047,1581637230.551953
0.0,-0.046,1581637230.551954
0.0,-0.045,1581637230.551955
0.0,-0.044,1581637230.551956
0.0,-0.043000000000000003,1581637230.551957
0.0,-0.042,1581637230.551958
0.0,-0.041,1581637230.551959
0.0,-0.04,1581637230.55196
0.0,-0.039,1581637230.551961
0.0,-0.038,1581637230.551962
0.0,-0.037,1581637230.551963
0.0,-0.036000000000000004,1581637230.551964
0.0,-0.035,1581637230.551965
0.0,-0.034,1581637230.551966
0.0,-0.033,1581637230.551967
0.0,-0.032,1581637230.551968
0.0,-0.031,1581637230.551969
0.0,-0.03,1581637230.55197
0.0,-0.029,1581637230.551971
0.0,-0.028,1581637230.551972
0.0,-0.027,1581637230.551973
0.0,-0.026000000000000002,1581637230.551974
0.0,-0.025,1581637230.551975
0.0,-0.024,1581637230.551976
0.0,-0.023,1581637230.551977
0.0,-0.022,1581637230.551978
0.0,-0.021,1581637230.551979
0.0,-0.02,1581637230.55198
0.0,-0.019,1581637230.551981
0.0,-0.018000000000000002,1581637230.551982
0.0,-0.017,1581637230.551983
0.0,-0.016,1581637230.551984
0.0,-0.015,1581637230.551985
0.0,-0.014,1581637230.551986
0.0,-0.013000000000000001,1581637230.551987
0.0,-0.012,1581637230.551988
0.0,-0.011,1581637230.551989
0.0,-0.01,1581637230.55199
0.0,-0.009000000000000001,1581637230.551991
0.0,-0.008,1581637230.551992
0.0,-0.007,1581637230.551993
0.0,-0.006,1581637230.551994
0.0,-0.005,1581637230.551995
0.0,-0.004,1581637230.551996
0.0,-0.003,1581637230.551997
0.0,-0.002,1581637230.551998
0.0,-0.001,1581637230.551999
0.0,0.0,1581637230.552
0.0,-0.099,1581637230.452901
0.0,-0.098,1581637230.452902
0.0,-0.097,1581637230.452903
0.0,-0.096,1581637230.452904
0.0,-0.095,1581637230.452905
0.0,-0.094,1581637230.452906
0.0,-0.093,1581637230.452907
0.0,-0.092,1581637230.452908
0.0,-0.091,1581637230.452909
0.0,-0.09,1581637230.45291
0.0,-0.089,1581637230.452911
0.0,-0.088,1581637230.452912
0.0,-0.08700000000000001,1581637230.452913
0.0,-0.08600000000000001,1581637230.452914
0.0,-0.085,1581637230.452915
0.0,-0.084,1581637230.452916
0.0,-0.083,1581637230.452917
0.0,-0.082,1581637230.452918
0.0,-0.081,1581637230.452919
0.0,-0.08,1581637230.45292
0.0,-0.079,1581637230.452921
0.0,-0.078,1581637230.452922
0.0,-0.077,1581637230.452923
0.0,-0.076,1581637230.452924
0.0,-0.075,1581637230.452925
0.0,-0.074,1581637230.452926
0.0,-0.073,1581637230.452927
0.0,-0.07200000000000001,1581637230.452928
0.0,-0.07100000000000001,1581637230.452929
0.0,-0.07,1581637230.45293
0.0,-0.069,1581637230.452931
0.0,-0.068,1581637230.452932
0.0,-0.067,1581637230.452933
0.0,-0.066,1581637230.452934
0.0,-0.065,1581637230.452935
0.0,-0.064,1581637230.452936
0.0,-0.063,1581637230.452937
0.0,-0.062,1581637230.452938
0.0,-0.061,1581637230.452939
0.0,-0.06,1581637230.45294
0.0,-0.059000000000000004,1581637230.452941
0.0,-0.058,1581637230.452942
0.0,-0.057,1581637230.452943
0.0,-0.056,1581637230.452944
0.0,-0.055,1581637230.452945
0.0,-0.054,1581637230.452946
0.0,-0.053,1581637230.452947
0.0,-0.052000000000000005,1581637230.452948
0.0,-0.051000000000000004,1581637230.452949
0.0,-0.05,1581637230.45295
0.0,-0.049,1581637230.452951
0.0,-0.048,1581637230.452952
0.0,-0.047,1581637230.452953
0.0,-0.046,1581637230.452954
0.0,-0.045,1581637230.452955
0.0,-0.044,1581637230.452956
0.0,-0.043000000000000003,1581637230.452957
0.0,-0.042,1581637230.452958
0.0,-0.041,1581637230.452959
0.0,-0.04,1581637230.45296
0.0,-0.039,1581637230.452961
0.0,-0.038,1581637230.452962
0.0,-0.037,1581637230.452963
0.0,-0.036000000000000004,1581637230.452964
0.0,-0.035,1581637230.452965
0.0,-0.034,1581637230.452966
0.0,-0.033,1581637230.452967
0.0,-0.032,1581637230.452968
0.0,-0.031,1581637230.452969
0.0,-0.03,1581637230.45297
0.0,-0.029,1581637230.452971
0.0,-0.028,1581637230.452972
0.0,-0.027,1581637230.452973
0.0,-0.026000000000000002,1581637230.452974
0.0,-0.025,1581637230.452975
0.0,-0.024,1581637230.452976
0.0,-0.023,1581637230.452977
0.0,-0.022,1581637230.452978
0.0,-0.021,1581637230.452979
0.0,-0.02,1581637230.45298
0.0,-0.019,1581637230.452981
0.0,-0.018000000000000002,1581637230.452982
0.0,-0.017,1581637230.452983
0.0,-0.016,1581637230.452984
0.0,-0.015,1581637230.452985
0.0,-0.014,1581637230.452986
0.0,-0.013000000000000001,1581637230.452987
0.0,-0.012,1581637230.452988
0.0,-0.011,1581637230.452989
0.0,-0.01,1581637230.45299
0.0,-0.009000000000000001,1581637230.452991
0.0,-0.008,1581637230.452992
0.0,-0.007,1581637230.452993
0.0,-0.006,1581637230.452994
0.0,-0.005,1581637230.452995
0.0,-0.004,1581637230.452996
0.0,-0.003,1581637230.452997
0.0,-0.002,1581637230.452998
0.0,-0.001,1581637230.452999
0.0,0.0,1581637230.453
0.0,-0.099,1581637231.353901
0.0,-0.098,1581637231.353902
0.0,-0.097,1581637231.353903
0.0,-0.096,1581637231.353904
0.0,-0.095,1581637231.353905
0.0,-0.094,1581637231.353906
0.0,-0.093,1581637231.353907
0.0,-0.092,1581637231.353908
0.0,-0.091,1581637231.353909
0.0,-0.09,1581637231.35391
0.0,-0.089,1581637231.353911
0.0,-0.088,1581637231.353912
0.0,-0.08700000000000001,1581637231.353913
0.0,-0.08600000000000001,1581637231.353914
0.0,-0.085,1581637231.353915
0.0,-0.084,1581637231.353916
0.0,-0.083,1581637231.353917
0.0,-0.082,1581637231.353918
0.0,-0.081,1581637231.353919
0.0,-0.08,1581637231.35392
0.0,-0.079,1581637231.353921
0.0,-0.078,1581637231.353922
0.0,-0.077,1581637231.353923
0.0,-0.076,1581637231.353924
0.0,-0.075,1581637231.353925
0.0,-0.074,1581637231.353926
0.0,-0.073,1581637231.353927
0.0,-0.07200000000000001,1581637231.353928
0.0,-0.07100000000000001,1581637231.353929
0.0,-0.07,1581637231.35393
0.0,-0.069,1581637231.353931
0.0,-0.068,1581637231.353932
0.0,-0.067,1581637231.353933
0.0,-0.066,1581637231.353934
0.0,-0.065,1581637231.353935
0.0,-0.064,1581637231.353936
0.0,-0.063,1581637231.353937
0.0,-0.062,1581637231.353938
0.0,-0.061,1581637231.353939
0.0,-0.06,1581637231.35394
0.0,-0.059000000000000004,1581637231.353941
0.0,-0.058,1581637231.353942
0.0,-0.057,1581637231.353943
0.0,-0.056,1581637231.353944
